;;#Dev Description;Stat Group;Slot;Affix Group;Special;MinRarity;;;;;;;;;;;;#;#;#;#;#;;#;#;#;#;#;#;#;weap1;head1;tors1;hand1;wais1;feet1;ring1;jewl1;amul1;reli1;weap2;head2;tors2;hand2;wais2;feet2;ring2;jewl2;amul2;reli2;weap3;head3;tors3;hand3;wais3;feet3;ring3;jewl3;amul3;reli3;weap4;head4;tors4;hand4;wais4;feet4;ring4;jewl4;amul4;reli4;weap5;head5;tors5;hand5;wais5;feet5;ring5;jewl5;amul5;reli5;#weap;#head;#tors;#hand;#wais;#feet;#ring;#jewl;#amul;#reli;#;#;#;#;#;#;#;#;#;;;;#;;Ability1;;;;;;;;;;;;;;;;;;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;
;mii%;Immortal Items Drop %;P.Item;none;@mii%;FALSE;myth;6;1;1;1;1;1;1;1;1;1;1;0.0002;0.0002;0.0002;0.0002;0.0002;FALSE;;50;50;100;150;200;250;0;0;0;50;0;0;50;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;150;0;0;150;0;0;0;0;0;0;200;0;0;200;0;0;0;0;0;0;250;0;0;250;0;0;0;0;0;0;1;0;0;1;0;0;0;2%;4%;6%;8%;10%;;;;;;;TRUE;FALSE;0;gstatm_base;stat;pimmo;;;;;;;;;;;;;;;0;val;0.0002;0;1;0.0002;;val;0.0002;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;miuniq%;Unique Items Drop %;P.Item;none;@miuniq;FALSE;rare;6;1;1;1;1;1;1;1;1;1;1;0.0005;0.0005;0.0005;0.0005;0.0005;FALSE;;10;10;20;30;40;50;0;0;0;10;0;0;10;0;0;0;0;0;0;20;0;0;20;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;40;0;0;40;0;0;0;0;0;0;50;0;0;50;0;0;0;0;0;0;1;0;0;1;0;0;0;1%;2%;3%;4%;5%;;;;;;;TRUE;FALSE;0;gstatm_base;stat;puniq;;;;;;;;;;;;;;;0;val;0.0005;0;1;0.0005;;val;0.0005;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;aslot;Attack Slot;P.Item;none;@aslot;FALSE;rare;3;60;75;90;105;120;1;1;1;1;1;0.01667;0.01333;0.01111;0.00952;0.00833;TRUE;0;0.66;40;99;178;277;396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;';';';';';;;;;;;TRUE;FALSE;0;boon_slot;slot;attack;;;;;;;;;;;;;;;0;st1;1;0;1;1;laslot+;st1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;dslot;Dash Slot;P.Item;none;@dslot;FALSE;rare;3;60;75;90;105;120;1;1;1;1;1;0.01667;0.01333;0.01111;0.00952;0.00833;TRUE;0;0.66;40;99;178;277;396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;';';';';';;;;;;;TRUE;FALSE;0;boon_slot;slot;dash;;;;;;;;;;;;;;;0;st1;1;0;1;1;ldslot+;st1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sslot;Strike Slot;P.Item;none;@sslot;FALSE;rare;3;15;19;23;26;30;1;1;1;1;1;0.06667;0.05263;0.04348;0.03846;0.03333;TRUE;0;0.66;10;25;46;69;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;46;0;0;0;0;23;0;0;0;0;52;0;26;26;0;26;0;0;0;0;90;0;30;30;0;60;0;0;0;0;1;0;0.4;0.4;0;0.75;';1;3;5;7;;;;;;;TRUE;FALSE;0;boon_slot;slot;strike;;;;;;;;;;;;;;;0;st1;1;0;1;1;lsslot+;st1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;cslot;Cast Slot;P.Item;none;@cslot;FALSE;rare;3;15;19;23;26;30;1;1;1;1;1;0.06667;0.05263;0.04348;0.03846;0.03333;TRUE;0;0.66;10;25;46;69;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;46;0;0;0;0;23;0;0;0;0;52;0;26;26;0;26;0;0;0;0;90;0;30;30;0;60;0;0;0;0;1;0;0.4;0.4;0;0.75;';1;3;5;7;;;;;;;TRUE;FALSE;0;boon_slot;slot;cast;;;;;;;;;;;;;;;0;st1;1;0;1;1;lcslot+;st1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;pslot;Power Slot;P.Item;none;@pslot;FALSE;rare;3;15;19;23;26;30;1;1;1;1;1;0.06667;0.05263;0.04348;0.03846;0.03333;TRUE;0;0.66;10;25;46;69;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;46;0;0;0;0;23;0;0;0;0;52;0;26;26;0;26;0;0;0;0;90;0;30;30;0;60;0;0;0;0;1;0;0.4;0.4;0;0.75;';1;3;5;7;;;;;;;TRUE;FALSE;0;boon_slot;slot;power;;;;;;;;;;;;;;;0;st1;1;0;1;1;lpslot+;st1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;suslot;Summon Slot;P.Item;none;@suslot;FALSE;rare;3;15;19;23;26;30;1;1;1;1;1;0.06667;0.05263;0.04348;0.03846;0.03333;TRUE;0;0.66;10;25;46;69;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;46;0;0;0;0;23;0;0;0;0;52;0;26;26;0;26;0;0;0;0;90;0;30;30;0;60;0;0;0;0;1;0;0.4;0.4;0;0.75;';1;3;5;7;;;;;;;TRUE;FALSE;0;boon_slot;slot;summon;;;;;;;;;;;;;;;0;st1;1;0;1;1;lsuslot+;st1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wfat;Fates Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Empyrean;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwfat+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wmor;Mort Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Mort;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwmor+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wfro;Winter Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Serenity;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwfro+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wfir;Summer Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Vengeance;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwfir+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wlig;Leigong Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Wrath;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwlig+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wwar;Krom Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Conquest;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwwar+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wear;Ninh Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Earth;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwear+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wwat;Aegir Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Water;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwwat+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wjus;Justice Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Justice;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwjus+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;wtim;Time Offers %;P.Item;none;@wgod;FALSE;rare;3;1;1;1;1;1;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;FALSE;;50;50;100;150;200;250;0;0;0;0;0;0;20;20;40;50;0;0;0;0;0;0;40;40;80;100;0;0;0;0;0;0;60;60;120;150;0;0;0;0;0;0;80;80;160;200;0;0;0;0;0;0;100;100;200;250;0;0;0;0;0;0;0.4;0.4;0.8;1;260%;520%;780%;1040%;1300%;;;;;;;TRUE;FALSE;0;god_weight;god;Time;;;;;;;;;;;;;;;0;st1;0.02;0;1;0.02;lwtim+%;st1;0.02;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;a%;Armor %;P.Item;none;@h;FALSE;epic;3.2;3;3;3;3;3;1;1.25;1.5;1.75;2;0.00333;0.00267;0.00222;0.0019;0.00167;FALSE;;;9999;9999;9999;9999;9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;';';';';';;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;arm;group;P;;;;;;;;;;;0;per;0.01;0;1;0.01;;per;0.01;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;e%;Evasion %;P.Item;none;@h;FALSE;epic;3.2;3;3;3;3;3;1;1.25;1.5;1.75;2;0.00333;0.00267;0.00222;0.0019;0.00167;FALSE;;;9999;9999;9999;9999;9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;';';';';';;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;eva;group;P;;;;;;;;;;;0;per;0.01;0;1;0.01;;per;0.01;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;h%;Health %;P.Item;none;@h;FALSE;epic;3.2;2;2;2;2;2;1;1.25;1.5;1.75;2;0.005;0.004;0.00333;0.00286;0.0025;FALSE;;;9999;9999;9999;9999;9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;';';';';';;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;hp;group;P;;;;;;;;;;;0;per;0.01;0;1;0.01;;per;0.01;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
