n/a;code;type;invvariant;envvariant;#avg;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;#;#;#;;;#;;;;;;#;;;;;;;;;;;;;;;;;;;;#;#;;;;;;;;;#;#;;#;#;#;#;;;;#;;;;;;;;;#;#;#;;#;#;#;#;#;;#;#;;;;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;;;;#;#;#;#sum;;;;;;;;;;;;#;;;#;;;;;;;;;#;#;#;;;;;#;#;#;;#;;;;;#;;#;;;;#;#;#;#;#;#;;;#;#;#;#;;#;#;;#;;;;;;;;;;;#;;;;;;;;;;;;;;;;
;Tr_Any;reli;default;default;;0.2;0.1;0.5;0.8;0.6;0.3;;0.5;0.5;0.5;;;;;;;;0.2;0.2;0.2;0.15;0.4;;;;;;;0.8;;;;;0.1;;;;;;;;;;;0.05;;;;;;;;;0.3;;;;;;;;;;;0.2;;;;;;;;0.5;;;;;0.09;0.5;0.5;;;3.3;3.3;3.3;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;0.5;0.5;0.5;0.5;0.05;0.05;0.05;0.05;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;0.04;0.04;;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;;0.04;0.005;0.04;0.005;0.005;0.005;0.005;0.005;0.005;0.04;0.04;0.04;0.04;0.02;0.02;0.04;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.04
;Tr_AnyAttack;weap;default;default;;;;;;;;1;;;;3;;;;;;;;;;0.05;;1;;;;;2.5;;;;;;0.05;0.05;0.8;;;;;;;1.2;1.2;;0.5;;0.5;;;;;;;;;;;;;;;0.1;;;;;;;0.05;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;0.24;0.24;0.24;0.08;0.24;0.24;0.24;0.24;0.24;0.24;;;0.58;;;;;;;;;;0.12;;;;;;;;;;;;;;;;;;0.04;;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;0.02;0.02;;;;0.24
;Tr_AnyAttack;head;default;default;;0.5;0.25;2;0.8;;;;;;;0.5;;;;;;;;;;0.05;;0.2;;;;;0.2;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;0.08;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;
;Tr_AnyAttack;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;0.04;;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyAttack;hand;default;default;;0.5;0.25;2;0.8;;;0.5;;;;0.5;;;;;;;;;;0.05;;0.5;;;;;1.5;;;;;;;0.04;0.6;;;;;;;0.5;0.5;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.12;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;0.24
;Tr_AnyAttack;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;0.04;;0.24;0.24;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;
;Tr_AnyAttack;feet;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;0.35;0.15;0.7;0.7;0.05;;;;0.2;;;;;;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;;;;;;;;;0.04;;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;
;Tr_AnyAttack;ring;default;default;;0.05;0.05;0.25;0.4;;;0.4;;;;1;;;;;;;;;;0.02;;0.25;;;;;0.6;;;;;;;;0.5;;;;;;;0.5;0.5;;0.1;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;0.2;;;;;0.1;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;
;Tr_AnyAttack;jewl;default;default;;0.05;0.05;0.25;0.4;;;0.4;;;;1;;;;;;;;;;0.05;;0.25;;;;;0.6;;;;;;;;0.5;;;;;;;0.5;0.5;;0.1;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;0.2;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;0.04;;0.24;0.24;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;0.02;;;;;
;Tr_AnyAttack;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;0.4;;;;1;;;;;;;;;;0.05;;0.25;;;;;0.6;;;;;;0.04;;0.5;;;;;;;0.5;0.5;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;
;Tr_AnyAttack;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;;;1;;;;;;;;;;0.05;;0.5;;;;;1;;;;;;0.07;;0.5;;;;;;;1;1;;0.1;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;0.5;;;;;0.09;0.5;0.5;;;3.2;3.2;3.2;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;0.12;0.04;;;;;;;;;;;;;;0.04;;0.24;0.24;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;0.02;0.02;0.02;0.02;0.02;0.02;;;;0.24
;Tr_AnyDash;weap;default;default;;;;;;;;;;0.5;;;3;;;;;;;;;0.05;;;1;;;;;;;;;;0.03;0.03;;0.6;;;;;;;;0.05;;;;0.5;;;;;;0.5;;;;;;;;;;;;;;;0.03;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.02;0.02;;;;
;Tr_AnyDash;head;default;default;;0.5;0.25;2;0.8;;;;;0.25;;;0.5;;;;;;;;;0.05;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;
;Tr_AnyDash;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;;0.24;0.24;0.24;0.24;0.24;0.24;;;;0.04;;0.04;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyDash;hand;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;0.02;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;
;Tr_AnyDash;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyDash;feet;default;default;;0.5;0.25;2;0.8;;0.05;;;;;;0.5;;;;;;;;;0.01;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;1;;;;;;0.2;;;;;;;;;;0.35;0.15;2.6;2.6;0.6;;;;;;;;;0.03;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;0.5;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;0.02;;;;;;;
;Tr_AnyDash;ring;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;1;;;;;;;;;0.02;;;0.25;;;;;;;;;;;;;0.5;;;;;;;;0.03;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;0.1;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;;0.24;0.24;0.24;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;
;Tr_AnyDash;jewl;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;1;;;;;;;;;0.05;;;0.25;;;;;;;;;;;;;0.5;;;;;;;;0.03;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.02;;;;;
;Tr_AnyDash;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;;;0.2;;;1;;;;;;;;;0.05;;;0.25;;;;;;;;;;0.02;;;0.5;;;;;;;;0.03;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;;;0.03;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;
;Tr_AnyDash;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;0.5;;;1;;;;;;;;;0.05;;;0.5;;;;;;;;;;0.04;;;0.5;;;;;;;;0.05;;;;;;;;;;0.3;;;;;;;;;;0.2;;;;;;;;;;;;;0.09;0.5;0.5;;;2.6;2.6;2.6;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;0.02;0.02;0.02;0.02;0.02;0.02;;;;
;Tr_AnyStrike;weap;default;default;;;;;;;;0.2;;0.5;;;;3;;;;;;;;0.05;;;;1;;;2.5;;;;;;0.04;0.04;;;0.8;;;;;;;;;;;;0.5;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.4;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.02;0.02;;;;0.24
