n/a;code;type;class;specific;#set;tier;drop1;drop2;eol;hidden;rarity;#sortC;#sortG;#tvfr;#tvto;#bv1fr;#bv1to;#bv2fr;#bv2to;#bv3fr;#bv3to;#tvsum;#tvdiff;#check;a1;val;#steps;#calc;a2;val;#steps;#calc;a3;val;#steps;#calc;a4;val;#steps;#calc;a5;val;#steps;#calc;a6;val;#steps;#calc;a7;val;#steps;#calc;a8;val;#steps;#calc;a9;val;#steps;#calc;a10;val;#steps;#calc;a11;val;#steps;#calc;eol;base_subtypes;#dif;#est;#est;#dps;#dmgr;mind;maxd;#avgd;at;#at%;are;tgt;rng;#rng%;vlc;kbk;pnc;bnc;cnt;ang;pts;eol;invart;invvariant;envart;envvariant;picksfx;dropsfx;eol
;NecromancerDiary2;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary2_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;NecromancerDiary3;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary3_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;NecromancerDiary4;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary4_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;NecromancerDiary5;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary5_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;NecromancerDiary6;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary6_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;NecromancerDiary7;lore;none;;none;1;;;0;TRUE;epic;hlornon14e;h1lornon4e;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_NecromancerDiary7_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;VampireDiary1;lore;none;;none;1;;;0;TRUE;myth;hlornon15m;h1lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_VampireDiary_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;VampireDiary2;lore;none;;none;1;;;0;TRUE;myth;hlornon15m;h1lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_VampireDiary_02_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;VampireDiary3;lore;none;;none;1;;;0;TRUE;myth;hlornon15m;h1lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_VampireDiary_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;VampireDiary4;lore;none;;none;1;;;0;TRUE;myth;hlornon15m;h1lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_VampireDiary_04_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;VampireDiary5;lore;none;;none;1;;;0;TRUE;myth;hlornon15m;h1lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_VampireDiary_05_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;Demo;reli;none;;none;1;;;0;TRUE;immo;hrelnon16i;h1relnon6i;79;79;0;0;0;0;23;23;64;-15;0;;;;;bban;12;4;;brer;24;4;;bski;28;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/DemoKni_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_02_Pick;Item_Relic_02_Drop;0
;SnowswatchAle;reli;none;Barbarian;none;1;;;0;TRUE;immo;hrelnonBar16i;h1relnonBar6i;79;79;0;0;0;0;23;23;65;-14;0;;;;;;;;;brer;30;5;;bski;35;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchAle_Spr;default;Items/ItemsEnv/SnowswatchAle_01_Spr;default;Item_Circlet_Pick;Item_Circlet_Drop;0
;SnowswatchPineBranch;reli;none;Druid;none;1;;;0;TRUE;immo;hrelnonDru16i;h1relnonDru6i;79;79;0;0;0;0;23;23;80;1;0;SnowswatchPineBranch;20;1;12%;;;;;;;;;;;;;hr;60;6;0.6;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchPineBranch_Spr;default;Items/ItemsInv/Uniques/none_Spr;default;Item_Wood_Pick;Item_Wood_Drop;0
;DemoKni;reli;none;Knight;none;1;;;0;TRUE;immo;hrelnonKni16i;h1relnonKni6i;79;79;0;0;0;0;23;23;64;-15;0;;;;;bban;12;4;;brer;24;4;;bski;28;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/DemoKni_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_02_Pick;Item_Relic_02_Drop;0
;DemoSor;reli;none;Sorceress;none;1;;;0;TRUE;immo;hrelnonSor16i;h1relnonSor6i;79;79;0;0;0;0;23;23;64;-15;0;;;;;bban;12;4;;brer;24;4;;bski;28;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/DemoSor_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_02_Pick;Item_Relic_02_Drop;0
;SnowswatchShawl;reli;none;Warrior;none;1;;;0;TRUE;immo;hrelnonWar16i;h1relnonWar6i;79;79;0;0;0;0;23;23;80;1;0;;;;;;;;;;;;;;;;;hr;80;8;0.8;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchShawl_Spr;default;Items/ItemsEnv/SnowswatchShawl_01_Spr;default;Item_Armor_Cloth_Pick;Item_Armor_Cloth_Drop;0
;SpiritKnife;weap;wkni;Assassin;none;1;;;0;TRUE;rare;hweawknAss13r;h1weawknAss3r;41;61;39;58;0;0;0;0;70;0;0;SpiritKnife;40;1;;d%;30;30;12%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Wkni_Basic_01;5.24;600;685;114.5;0.75;43;72;57.5;0.5;1.21;0.81;1.97;;1;;;;;;;2;0;Items/ItemsInv/Wkni_Holy_01_Spr;default;Items/ItemsEnv/Wkni_Basic_01_Spr;default;Item_Weapon_Sword_Pick;Item_Weapon_Sword_Drop;0
;SnowswatchCandyCane;weap;wsta;Sorceress;none;1;;;0;TRUE;immo;hweawstSor16i;h1weawstSor6i;157;157;83;83;0;0;0;0;158;1;0;SnowswatchCandyCane;40;10;30%;d%;113;113;45.2%;;;;;;;;;arng%;5;5;15%;;;;;;;;;;;;;;;;;;;;;;;;;0;Wsta_Wizard_01;4.67;300;299;64.2;1;32;32;32;0.5;1.21;0.052;1.63;10;2.37;6.6;;;;1;45;1;0;Items/ItemsInv/Uniques/SnowswatchCandyCane_Spr;default;Items/ItemsEnv/SnowswatchCandyCane_01_Spr;default;Item_Wood_Pick;Item_Wood_Drop;0
;SnowswatchPinecone;amul;none;Druid;none;2;;;0;TRUE;immo;hamunonDru26i;h2amunonDru6i;108;108;0;0;0;0;62;77;112;4;0;SnowswatchPinecone1;40;1;;SnowswatchPinecone2;40;1;;;;;;msm%;32;32;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Amul_Basic_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchPinecone_Spr;default;Items/ItemsInv/Uniques/none_Spr;default;Item_Wood_Pick;Item_Wood_Drop;0
;SnowswatchMittens;hand;none;Knight;none;2;;;0;TRUE;immo;hhannonKni26i;h2hannonKni6i;139;139;11;11;37;37;0;0;151;12;0;SnowswatchMittens;120;2;;a;1;1;;pul;30;30;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Hand_Cloth_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchMittens_Spr;default;Items/ItemsEnv/SnowswatchMittens_01_Spr;default;Item_Gloves_Pick;Item_Gloves_Drop;0
;SnowswatchStar;jewl;none;Ranger;none;2;;;0;TRUE;immo;hjewnonRan26i;h2jewnonRan6i;108;108;0;0;0;0;62;77;112;4;0;SnowswatchStar;72;2;;;;;;;;;;msm%;40;40;3.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Jewl_BasicRed_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchStar_Spr;default;Items/ItemsEnv/SnowswatchStar_01_Spr;default;Item_Ring_Pick;Item_Ring_Drop;0
;LustyOrc4;lore;none;;none;2;;;0;TRUE;rare;hlornon23r;h2lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc5;lore;none;;none;2;;;0;TRUE;rare;hlornon23r;h2lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;QueenNote;lore;none;;none;2;;;0;TRUE;rare;hlornon23r;h2lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;BaronDecree;lore;none;;none;2;;;0;TRUE;rare;hlornon23r;h2lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_01_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LoreLand1;lore;none;;none;2;;;0;TRUE;myth;hlornon25m;h2lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LoreLand2;lore;none;;none;2;;;0;TRUE;myth;hlornon25m;h2lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LoreLand3;lore;none;;none;2;;;0;TRUE;myth;hlornon25m;h2lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LoreLand4;lore;none;;none;2;;;0;TRUE;myth;hlornon25m;h2lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LoreLand5;lore;none;;none;2;;;0;TRUE;myth;hlornon25m;h2lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LoreLand6;lore;none;;none;2;;;0;TRUE;myth;hlornon25m;h2lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_03_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;SnowswatchGingerbreadMan;reli;none;Assassin;none;2;;;0;TRUE;immo;hrelnonAss26i;h2relnonAss6i;154;154;0;0;0;0;59;59;150;-4;0;SnowswatchGingerbreadMan;50;2;;;;;;;;;;;;;;hr;100;10;1;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchGingerbreadMan_Spr;default;Items/ItemsEnv/SnowswatchGingerbreadMan_01_Spr;default;Item_Hood_Pick;Item_Hood_Drop;0
;SnowswatchSnowman;reli;none;Sorceress;none;2;;;0;TRUE;immo;hrelnonSor26i;h2relnonSor6i;154;154;0;0;0;0;59;59;154;0;0;SnowswatchSnowman;104;2;;;;;;;;;;;;;;;;;;u%;50;50;35%;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchSnowman_Spr;default;Items/ItemsEnv/SnowswatchSnowman_01_Spr;default;Item_Armor_Cloth_Pick;Item_Armor_Cloth_Drop;0
;SnowswatchReindeerToy;reli;none;Warrior;none;2;;;0;TRUE;immo;hrelnonWar26i;h2relnonWar6i;154;154;0;0;0;0;59;59;160;6;0;SnowswatchReindeerToy;160;8;16%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Reli_Tusk_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchReindeerToy_Spr;default;Items/ItemsEnv/SnowswatchReindeerToy_01_Spr;default;Item_Wood_Pick;Item_Wood_Drop;0
;SnowswatchCostume;tors;none;Barbarian;none;2;;;0;TRUE;immo;htornonBar26i;h2tornonBar6i;307;307;53;53;0;0;62;62;298;-9;0;SnowswatchCostume;160;2;;a;2;2;;;;;;rev;56;1;1;h;80;80;80;;;;;;;;;;;;;;;;;;;;;;;;;0;Tors_ClothRobe_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/SnowswatchCostume_Spr;default;Items/ItemsEnv/SnowswatchCostume_01_Spr;default;Item_Armor_Cloth_Pick;Item_Armor_Cloth_Drop;0
;TheBaronsLetters1;lore;none;;none;3;;;0;TRUE;myth;hlornon35m;h3lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_04_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;TheBaronsLetters2;lore;none;;none;3;;;0;TRUE;myth;hlornon35m;h3lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_04_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;TheBaronsLetters3;lore;none;;none;3;;;0;TRUE;myth;hlornon35m;h3lornon5m;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_ScrollRune_04_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;RoyalDecree;lore;none;;none;3;;;0;TRUE;comm;hlornon32c;h3lornon2c;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Lore_Scroll_02_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc6;lore;none;;none;3;;;0;TRUE;rare;hlornon33r;h3lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc7;lore;none;;none;3;;;0;TRUE;rare;hlornon33r;h3lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;LustyOrc8;lore;none;;none;3;;;0;TRUE;rare;hlornon33r;h3lornon3r;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Uniques/LustyOrc_Spr;default;Items/ItemsEnv/Book_01_Spr;default;Item_Relic_01_Pick;Item_Relic_01_Drop;0
;CoolChain;amul;none;;none;1;;;0;FALSE;rare;ramunon13r;r1amunon3r;14;21;0;0;0;0;11;21;25;1;0;;;;;;;;;;;;;;;;;auoh7;25;5;20%;;;;;;;;;;;;;;;;;;;;;;;;;0;Amul_Basic_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_ChainGold_01_Spr;default;Items/ItemsEnv/Amul_01_Spr;default;Item_Amulet_Pick;Item_Amulet_Drop;0
;Spinning;amul;none;;none;1;;;0;FALSE;epic;ramunon14e;r1amunon4e;24;33;0;0;0;0;17;28;45;9;0;;;;;;;;;;;;;msm%;15;15;1.8%;v%;30;30;300%;;;;;;;;;;;;;;;;;;;;;;;;;0;Amul_Basic_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_03_Spr;default;Items/ItemsEnv/Amul_01_Spr;default;Item_Amulet_Pick;Item_Amulet_Drop;0
;RainbowAmulet;amul;none;;none;1;;;0;FALSE;epic;ramunon14e;r1amunon4e;24;33;0;0;0;0;17;28;40;4;0;;;;;;;;;;;;;;;;;mse%;40;40;11.2%;;;;;;;;;;;;;;;;;;;;;;;;;0;Amul_Basic_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_01_Spr;default;Items/ItemsEnv/Amul_01_Spr;default;Item_Amulet_Pick;Item_Amulet_Drop;0
;215;amul;none;;none;1;;;0;FALSE;myth;ramunon15m;r1amunon5m;50;50;0;0;0;0;28;35;63;10;0;215;20;1;2.2%;;;;;;;;;;;;;rng%;43;43;129%;;;;;;;;;;;;;;;;;;;;;;;;;0;Amul_Basic_01;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Amul_Basic_05_Spr;default;Items/ItemsEnv/Amul_01_Spr;default;Item_Amulet_Pick;Item_Amulet_Drop;0
