n/a;id;#condition;#condition;#name;#desc;category;prerequisite;score id;score max;logic;p1;v1;p2;v2;p2;v2;eol;allow in demo;icon;eol
;Ach_UnlockTr_sor_3;All the visual effects;Have at least 5 different Active Spells (meteor, lightningbolt, etc.);The Sign of The Hydra;"You gain +2 Spells Projectile Count.";Sorceress;;St_SorAutocastCount;4;have_x_slot;slot;cast;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/TrMoreSpCnt_Ico_S;0
;Ach_UnlockTr_sor_4;I need 60 good men;Have at least 60 minions at a time;The Sign of The Summoner;"You gain +10% Summon Damage every 3 levels (max +100%).";Sorceress;;St_SorMaxSummons;40;have_x_summons;;;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/TrSummDmgPL_Ico_S;0
;Ach_UnlockTr_sor_5;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Sorceress;;;;win_with_talent;talent;SorPullAreaToCastDmg;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/SorPullAreaToCastDmg_Ico_S;0
;Ach_UnlockTr_sor_6;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Sorceress;;;;win_with_talent;talent;SorLightningRingDmgForLvl;with_char;Sorceress;;;0;FALSE;GUI/Interface/Achievements/Icons/SorDashAttackBoost_Ico_S;0
;Ach_UnlockTr_ass_0;30 Second Bat Frenzy;Kill the Gargoyles in under 30 seconds;The Sign of The Viper;"You gain +5% Attack Speed every 3 levels (max +50%).";Assassin;;;;kill_codes;codes;Gargoyle1B, Gargoyle2B;with_char;Assassin;time_limit;20;0;FALSE;GUI/Interface/Achievements/Icons/TrAtSpeedPL_Ico_S;0
;Ach_UnlockTr_ass_1;I collected cards of 1000;Crit for at least 1000 damage total (with assassin);The Sign of The Thread;"You deal +500% more damage striking enemies below 10% life.";Assassin;;St_AssCrit;2000;crit_total;;;with_char;Assassin;;;0;FALSE;GUI/Interface/Achievements/Icons/TrDmgBelowHp_Ico_S;0
;Ach_UnlockTr_ass_2;4 Times I Jump;Have 4 dash charges in a run;The Sign of The Grasshopper;"You gain +1 Dash but have +25% Dash Cooldowns.";Assassin;;St_AssCharges;4;have_x_chg;;;with_char;Assassin;;;0;FALSE;GUI/Interface/Achievements/Icons/TrMoreDash_Ico_S;0
;Ach_UnlockTr_ass_3;I don't need no handouts;Win a run without getting pick ups (make a darkness that disables them);The Sign of The Thief;"Pick ups drop 100% more often.";Assassin;;St_AssGoldInRun;1000;x_gold_in_run;;;with_char;Assassin;;;0;FALSE;GUI/Interface/Achievements/Icons/AssGoldOnHit_Ico_S;0
;Ach_UnlockTr_ass_4;Do not take the purple bait;Do not pick up a dropped epic item (with any hero);The Sign of The Rabbit;"You gain +5% Luck every 3 levels (max +50%).";Assassin;;;;win_with_boon;boon;Luck;with_char;Assassin;;;0;FALSE;GUI/Interface/Achievements/Icons/TrLuckPL_Ico_S;0
;Ach_UnlockTr_ass_5;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Assassin;;;;win_with_talent;talent;AssShadowMaster;with_char;Assassin;;;0;FALSE;GUI/Interface/Achievements/Icons/AssShadowMaster_Ico_S;0
;Ach_UnlockTr_ass_6;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Assassin;;;;win_with_talent;talent;AssPoisonWeakens;with_char;Assassin;;;0;FALSE;GUI/Interface/Achievements/Icons/AssPoisonStacks_Ico_S;0
;Ach_UnlockTr_bar_0;20 At Once;Kill 20 enemies with a single attack hit.;The Sign of The Tornado;"You gain +8% Attack Area every 3 levels (max +80%).";Barbarian;;St_BarKillIsnOneAttack;25;kill_x_in_one;;;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/TrAtAreaPL_Ico_S;0
;Ach_UnlockTr_bar_1;Instant Bash;Stun an undamaged elite monster with ur first attack hit on it;The Sign of The Earthquake;"Enemy stun thresholds are reduced by -100%. You deal +40% Damage to enemies below their stun threshold.";Barbarian;;;;elite_instant_bash;;;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/TrStunThr_Ico_S;0
;Ach_UnlockTr_bar_2;I dealt a card of 500;Crit for at least 500 damage (in a single hit);The Sign of The Tsunami;"You gain +4% Attack Critical Chance every 3 levels (max +40%).";Barbarian;;St_BarCrit;400;crit_one_hit;;;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/TrCritChancePL_Ico_S;0
;Ach_UnlockTr_bar_3;50 Shields For My Wall;Kill 50 Obsidian army minions (with Barbarian);The Sign of The Meteor;"You gain +1.2% Attack Damage for every 1 Armor Point you have. Your armor doesn't give you any damage reduction.";Barbarian;;St_BarShieKills;50;kill_x;persona;pShie;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/BarCantGetStunned_Ico_S;0
;Ach_UnlockTr_bar_4;The Old Man;Defeat The Necromancer;The Sign of The Mountain;"You can't regenerate life. You have +222 life.";Barbarian;;;;win_with_boon;boon;RockShield;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/TrNoRegMoreLife_Ico_S;0
;Ach_UnlockTr_bar_5;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Barbarian;;;;win_with_talent;talent;BarEnrageAttackDmgArea;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/BarPowerStun_Ico_S;0
;Ach_UnlockTr_bar_6;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Barbarian;;;;kill_codes;codes;DjinnB;with_char;Barbarian;;;0;FALSE;GUI/Interface/Achievements/Icons/TrDmgForArmor_Ico_S;0
;Ach_UnlockTr_war_0;5000 Steps;Traverse at least 5000 distance (total, with Skadi);The Sign of The Wyvern;"You gain +6 Movement Speed every 3 levels (max +60).";Warrior;;St_WarTravelDist;300;traverse_x;;;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/TrInvOnTakeDmg_Ico_S;0
;Ach_UnlockTr_war_1;Number Go Up To 30;Reach level 30 in a run;The Sign of The Apprentice;"A random skill you have gains +1 level on every 3 levels you gain.";Warrior;;St_WarLevel;30;reach_level_x;;;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/TrSkillsLvlPL_Ico_S;0
;Ach_UnlockTr_war_2;I wield the 5 Elements;Apply 5 different statuses to enemies in a single run.;The Sign of The Cosmos;"Your attacks have a small chance of applying a random combination of statuses.";Warrior;;St_WarStatuses;5;apply_x_statuses;;;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/TrAtRandomStatus_Ico_S;0
;Ach_UnlockTr_war_3;On the Hunt for a Bat;Win a run blessed by the Shrine of Hunting;The Sign of The Wolf;"A white raven fights alongside you. It gains 5 times value from stat boosts.";Warrior;;St_WarSummKills;25;kill_x;persona;pSumm;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/WarWolfDamage_Ico_S;0
;Ach_UnlockTr_war_4;999 Bandages;Heal 999 life with Skadi.;The Sign of The Lizard;"You gain +0.05 Life regeneration every 3 levels (max +0.5).";Warrior;;St_WarHealTotal;999;heal_x_total;;;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/TrHpRegPL_Ico_S;0
;Ach_UnlockTr_war_5;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Warrior;;;;win_with_talent;talent;WarSecondWolf;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/TrWolf_Ico_S;0
;Ach_UnlockTr_war_6;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Warrior;;;;win_with_darkness;amount;1;with_char;Warrior;;;0;FALSE;GUI/Interface/Achievements/Icons/TrMoreAdept_Ico_S;0
;Ach_UnlockTr_ran_0;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;St_RanLevel;40;reach_level_x;;;with_char;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanLevelUpOffers_Ico_S;0
;Ach_UnlockTr_ran_1;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;St_RanSkelKills;1000;kill_x;persona;pSkel;with_char;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanAttackCastSpeed_Ico_S;0
;Ach_UnlockTr_ran_2;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;St_RanDeathsInRow;1;die_in_row;;;character;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanStrikeDmg_Ico_S;0
;Ach_UnlockTr_ran_3;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;;;kill_codes;codes;InsectQueenB;with_char;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanCrit_Ico_S;0
;Ach_UnlockTr_ran_4;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;St_RanTravelDist;600;traverse_x;;;with_char;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanStrikeToAttackDmg_Ico_S;0
;Ach_UnlockTr_ran_5;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;;;win_with_talent;talent;RanStrikeOnCrit;with_char;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanStrikeOnCrit_Ico_S;0
;Ach_UnlockTr_ran_6;The magic of friendship;Win a run with every character;The Sign of The Disciple;"All blessings you are offered are at least Adept rarity. Your Adept rarity bonuses convert to Expert rarity bonuses at a 22% rate.";Ranger;;;;win_with_talent;talent;RanMasterArrow;with_char;Ranger;;;0;FALSE;GUI/Interface/Achievements/Icons/RanMasterArrow_Ico_S;0
;Ach_UnlockTr_dru_0;;;;;Druid;;;;win_with_talent;talent;DruBear;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruBear_Ico_S;0
;Ach_UnlockTr_dru_1;;;;;Druid;;;;win_with_talent;talent;DruPanther;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruCat_Ico_S;0
;Ach_UnlockTr_dru_2;;;;;Druid;;;;win_with_boon;boon;Vampirism;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruVamp_Ico_S;0
;Ach_UnlockTr_dru_3;;;;;Druid;;St_DruKills_pTreefolk;50;kill_x;persona;pTree;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruTraitor_Ico_S;0
;Ach_UnlockTr_dru_4;;;;;Druid;;;;win_no_map_object;;;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruLoc_Ico_S;0
;Ach_UnlockTr_dru_5;;;;;Druid;;;;kill_codes;codes;CloneDruid;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruSelf_Ico_S;0
;Ach_UnlockTr_dru_6;;;;;Druid;;St_DruDashCount;3;have_x_archtype;archtype;dash;with_char;Druid;;;0;FALSE;GUI/Interface/Achievements/Icons/DruDash_Ico_S;0
;Ach_Trophy_Skeleton;50 000 Bones to Pick;Kill 50 000 Skeletons.;A Thousand Bones;"You collect the equipment of Skeleton warriors.";General;;St_Kills_pSkel;6000;kill_x;persona;pSkel;;;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophySkeleton_Ico_S;0
;Ach_Trophy_Ooze;30 000 Pounds of Jelly;Kill 30 000 Oozes.;Jelly;"You sample some Ooze matter for study.";General;;St_Kills_pOoze;4000;kill_x;persona;pOoze;;;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyOoze_Ico_S;0
;Ach_Trophy_Ghost;Not a scratch;Win a run without getting hit;Ghost Matter;"You capture Ghost matter.";General;;;;win_no_hit;;;;;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyGhost_Ico_S;0
;Ach_Trophy_Summoner;150 Summoning Orders;Kill 150 Summoners.;The Summoner;"You construct a Summoner's skeleton.";General;;St_Kills_pSumm;50;kill_x;persona;pSumm;;;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophySummoner_Ico_S;0
;Ach_Trophy_Shielder;5 Lamps To Turn Off;Win a run with 5 Darkness.;Obsidian;"You acquire a Defender's shield.";General;;;;win_with_darkness;amount;5;;;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyShielder_Ico_S;0
;Ach_Trophy_BlackKnight;10 Lamps To Turn Off;Win a run with 10 Darkness;A Black Heart;"You claim a Black Knight's hammer.";General;;;;win_with_darkness;amount;10;;;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyBlackKnight_Ico_S;0
;Ach_Trophy_VampireLord;;;;;General;;;;kill_codes;codes;VampireLordB;on_act;Wilderness;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyVampireLord_Ico_S;0
;Ach_Trophy_Djinn;;;;;General;;;;kill_codes;codes;DjinnB;on_act;Desert;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyDjinn_Ico_S;0
;Ach_Reach_Moor;;;;;General;;;;play_act;;;on_act;Moor;;;0;FALSE;GUI/Interface/Achievements/Icons/ActDarkmoor_Ico_S;0
;Ach_Trophy_Lady;;;;;General;;;;kill_codes;codes;LadyB;on_act;Moor;;;0;FALSE;GUI/Interface/Achievements/Icons/TrophyLady_Ico_S;0
