n/a;#;code;p;act;tags;size;value;weight;#%;#min;#avg;#max;max;prefab;map icon;type;#loss;#reward;p1;v1;p2;v2;eol
;;shrine_krom;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_Krom/Shrine_Krom_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;aare%are%;code;shrine_krom;;;0
;;shrine_music;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_Music/Shrine_Music_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;pul-thr%_e;code;shrine_music;;;0
;;shrine_onidemon;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_OniDemon/Shrine_OniDemon_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;msae%;msm%;code;shrine_onidemon;;;0
;;shrine_shiva;2;t1;;L;16;35;34.59%;;;;3;Entities/MapObjects/Act 1/Shrine_Shiva/Shrine_Shiva_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;as%cnt;code;shrine_shiva;;;0
;;shrine_thor;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_Thor/Shrine_Thor_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;acc%cc%;code;shrine_thor;;;0
;;shrine_writing;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_Writing/Shrine_Writing_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;s%;code;shrine_writing;;;0
;;statue_swan;2;t1;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Statue_Swan/Statue_Swan_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;lck;lck;code;statue_swan;;;0
;;tree_wisdom;2;t1;;M;16;11;10.87%;;;;x;Entities/MapObjects/Act 1/Tree_Wisdom/Tree_Wisdom_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;xp%;code;tree_wisdom;;;0
;;tree_wither;2;t1;;M;16;11;10.87%;;;;x;Entities/MapObjects/Act 1/Tree_Wither/Tree_Wither_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;tree_wither;;;0
;;shardfallen;2;t1;;M;16;15;14.82%;;;;x;Entities/MapObjects/Act 1/ShardFallen/ShardFallen_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shardfallen;;;0
;;tome_sacred;2;t1;;S;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Tome_Sacred/Tome_Sacred_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;tome_sacred;;;0
;;mechkata;2;t1;;S;16;1;0.99%;;;;x;Entities/MapObjects/Act 1/Mechkata/Mechkata_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;mechkata;;;0
;;gremlinroothouse;2;t1;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/GremlinRoothouse/GremlinRoothouse_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;gremlinroothouse;;;0
;;shrine_tracking;2;t1;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Shrine_Tracking/Shrine_Tracking_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;shrine_tracking;;;0
;;bookshelf_act1;2;t1;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 1/Bookshelf_WoodenSimple/Bookshelf_WoodenSimple_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;bookshelf_act1;;;0
;;bonfire;3;t1;;S;12;150;115.01%;;;;x;Entities/MapObjects/Act 1/Bonfire/Bonfire_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;hp;code;bonfire;;;0
;;alms;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Alms/Alms_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;lck;code;alms;;;0
;;chest;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Chest/Chest_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;igpi;code;chest;;;0
;;cloverfield;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/CloverField/CloverField_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;lck;code;cloverfield;;;0
;;fallenhero;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/FallenHero/FallenHero_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;lck;igpi;code;fallenhero;;;0
;;grave;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Grave/Grave_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;lck;igpi;code;grave;;;0
;;mineralspring;3;t1;;M;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/MineralSpring/MineralSpring_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;heal;code;mineralspring;;;0
;;obelisk_greed;3;t1;;M;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Obelisk_Greed/Obelisk_Greed_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;g;code;obelisk_greed;;;0
;;obelisk_sanctuary;3;t1;;M;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Obelisk_Sanctuary/Obelisk_Sanctuary_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;obelisk_sanctuary;;;0
;;orb_seeking;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Orb_Seeking/Orb_Seeking_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;pi;code;orb_seeking;;;0
;;stone_collecting;3;t1;;M;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Stone_Collecting/Stone_Collecting_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;pul;code;stone_collecting;;;0
;;stone_experience;3;t1;;M;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Stone_Experience/Stone_Experience_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;xp%;code;stone_experience;;;0
;;stone_power;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Stone_Power/Stone_Power_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;pow;code;stone_power;;;0
;;stone_stamina;3;t1;;M;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Stone_Stamina/Stone_Stamina_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;mvp;code;stone_stamina;;;0
;;totem_hare;3;t1;;S;12;25;19.17%;;;;x;Entities/MapObjects/Act 1/Totem_Hare/Totem_Hare_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;dchg;code;totem_hare;;;0
;;well;3;t1;;S;12;150;115.01%;;;;x;Entities/MapObjects/Act 1/Well/Well_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;heal;code;well;;;0
;;altar_devotion;3;t1;;S;12;70;53.67%;;;;x;Entities/MapObjects/Act 1/Altar_Devotion/Altar_Devotion_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;heal%;code;altar_devotion;;;0
;;braziermedievaldark;3;t1;;S;12;70;53.67%;;;;x;Entities/MapObjects/Act 1/BrazierMedievalDark/BrazierMedievalDark_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;braziermedievaldark;;;0
;;brazierelegantstone;3;t1;;S;12;70;53.67%;;;;x;Entities/MapObjects/Act 1/BrazierElegantStone/BrazierElegantStone_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;brazierelegantstone;;;0
;;brazierelegantsand;3;t1;;S;12;70;53.67%;;;;x;Entities/MapObjects/Act 1/BrazierElegantSand/BrazierElegantSand_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;brazierelegantsand;;;0
;;wartotem;3;t1;;M;12;70;53.67%;;;;x;Entities/MapObjects/Act 1/WarTotem/WarTotem_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;wartotem;;;0
;;chest_ancientmarble;3;t1;;S;12;50;38.34%;;;;x;Entities/MapObjects/Act 1/Chest_AncientMarble/Chest_AncientMarble_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;chest_ancientmarble;;;0
;;coffin_stonescripted1;3;t1;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 1/Coffin_StoneScripted1/Coffin_StoneScripted1_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;igpi;code;coffin_stonescripted1;;;0
;;egyptian_ankh;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Egyptian_Ankh/Egyptian_Ankh_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;egyptian_ankh;;;0
;;lamp_magic;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Lamp_Magic/Lamp_Magic_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;lamp_magic;;;0
;;shrine_cobraking;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Shrine_CobraKing/Shrine_CobraKing_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_cobraking;;;0
;;shrine_horus;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Shrine_Horus/Shrine_Horus_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_horus;;;0
;;shrine_scorpion;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Shrine_Scorpion/Shrine_Scorpion_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_scorpion;;;0
;;shrine_statuestrial;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Shrine_StatuesTrial/Shrine_StatuesTrial_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_statuestrial;;;0
;;staff_sedentary;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 1/Staff_Sedentary/Staff_Sedentary_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;staff_sedentary;;;0
;;altar_ancient_sandsunken;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_Ancient_Sandsunken/Altar_Ancient_Sandsunken_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_ancient_sandsunken;;;0
;;altar_beautyeyes;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_BeautyEyes/Altar_BeautyEyes_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_beautyeyes;;;0
;;altar_sabres;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_Sabres/Altar_Sabres_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_sabres;;;0
;;altar_scarabwings;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_ScarabWings/Altar_ScarabWings_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_scarabwings;;;0
;;altar_skullsunoreol;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_SkullSunOreol/Altar_SkullSunOreol_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_skullsunoreol;;;0
;;altar_snakescoiled;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_SnakesCoiled/Altar_SnakesCoiled_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_snakescoiled;;;0
;;altar_sunandmoon;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Altar_SunAndMoon/Altar_SunAndMoon_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;altar_sunandmoon;;;0
;;boat_sandsunken;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Boat_SandSunken/Boat_SandSunken_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;boat_sandsunken;;;0
;;canopiccoffin_eaglerich1;2;t2;;M;16;3;2.96%;;;;x;Entities/MapObjects/Act 2/Power 2/CanopicCoffin_EagleRich1/CanopicCoffin_EagleRich1_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;canopiccoffin_eaglerich1;;;0
;;cauldron_darkmatter;2;t2;;M;16;18;17.79%;;;;x;Entities/MapObjects/Act 2/Power 2/Cauldron_DarkMatter/Cauldron_DarkMatter_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;cauldron_darkmatter;;;0
;;crocodile_carcass;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Crocodile_Carcass/Crocodile_Carcass_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;crocodile_carcass;;;0
;;darksphere_moon;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Darksphere_Moon/Darksphere_Moon_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;darksphere_moon;;;0
;;enchantmentground1;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/EnchantmentGround1/EnchantmentGround1_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;enchantmentground1;;;0
;;harp_ibisofserenity;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Harp_IbisOfSerenity/Harp_IbisOfSerenity_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;harp_ibisofserenity;;;0
;;lightsphere_sun;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Lightsphere_Sun/Lightsphere_Sun_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;lightsphere_sun;;;0
;;mystgate;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/NPC_Hermit/NPC_Hermit_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;mystgate;;;0
;;oasis1;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Oasis1/Oasis1_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;oasis1;;;0
;;potionsstand;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/PotionsStand/PotionsStand_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;potionsstand;;;0
;;sarcophagus_rich_mummy;1;t2;;M;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 2/Sarcophagus_Rich_Mummy/Sarcophagus_Rich_Mummy_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;sarcophagus_rich_mummy;;;0
;;sarcophagus_simple_mummy;2;t2;;M;20;16;15.81%;;;;1;Entities/MapObjects/Act 2/Power 2/Sarcophagus_Simple_Mummy/Sarcophagus_Simple_Mummy_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;sarcophagus_simple_mummy;;;0
;;scroll_of_wisdom;2;t2;;M;16;24;23.72%;;;;x;Entities/MapObjects/Act 2/Power 2/Scroll_of_Wisdom/Scroll_of_Wisdom_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;scroll_of_wisdom;;;0
;;shrine_cat;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Cat/Shrine_Cat_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_cat;;;0
;;shrine_crocodile;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Crocodile/Shrine_Crocodile_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_crocodile;;;0
;;shrine_dragonfly;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Dragonfly/Shrine_Dragonfly_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_dragonfly;;;0
;;shrine_egyptianeagle;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_EgyptianEagle/Shrine_EgyptianEagle_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_egyptianeagle;;;0
;;shrine_fish;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Fish/Shrine_Fish_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_fish;;;0
;;shrine_halfface;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Halfface/Shrine_Halfface_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_halfface;;;0
;;shrine_hippopotamus;2;t2;;L;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Hippopotamus/Shrine_Hippopotamus_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_hippopotamus;;;0
;;shrine_jackal;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Jackal/Shrine_Jackal_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_jackal;;;0
;;shrine_river;1;t2;;L;20;8;1.84%;;;;1;Entities/MapObjects/Act 2/Power 2/Shrine_River/Shrine_River_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_river;;;0
;;shrine_scarab;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Scarab/Shrine_Scarab_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_scarab;;;0
;;shrine_snake;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Shrine_Snake/Shrine_Snake_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;shrine_snake;;;0
;;silk_monument;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Silk_Monument/Silk_Monument_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;silk_monument;;;0
;;stone_scriptures;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Stone_Scriptures/Stone_Scriptures_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;stone_scriptures;;;0
;;tent_nomadic;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Tent_Nomadic/Tent_Nomadic_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;tent_nomadic;;;0
;;tree_desertspirits;2;t2;;M;20;10;9.88%;;;;x;Entities/MapObjects/Act 2/Power 2/Tree_DesertSpirits/Tree_DesertSpirits_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;tree_desertspirits;;;0
;;well_turquoise;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Well_Turquoise/Well_Turquoise_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;well_turquoise;;;0
;;wondrous_parchment;2;t2;;M;16;35;34.59%;;;;x;Entities/MapObjects/Act 2/Power 2/Wondrous_Parchment/Wondrous_Parchment_Fab;GUI/Minimap/Minimap_Marker02_Spr;encounter;;;code;wondrous_parchment;;;0
;;bookshelf_act2;2;t2;;M;16;60;59.29%;;;;x;Entities/MapObjects/Act 2/Power 2/Bookshelf_WoodenSimple_Sand/Bookshelf_WoodenSimple_Sand_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;bookshelf_act2;;;0
;;basket_fruit1;3;t2;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 2/Power 3/Basket_Fruit1/Basket_Fruit1_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;basket_fruit1;;;0
;;bowl_turquoiseliquid;3;t2;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 2/Power 3/Bowl_TurquoiseLiquid/Bowl_TurquoiseLiquid_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;bowl_turquoiseliquid;;;0
;;brazierhanging1;3;t2;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 2/Power 3/BrazierHanging1/BrazierHanging1_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;brazierhanging1;;;0
;;bustwithnecklaces;3;t2;;S;12;7;5.37%;;;;x;Entities/MapObjects/Act 2/Power 3/BustWithNecklaces/BustWithNecklaces_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;bustwithnecklaces;;;0
;;cacti1;3;t2;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 2/Power 3/Cacti1/Cacti1_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;cacti1;;;0
;;coffin_stonescripted2;3;t2;;S;12;20;15.33%;;;;x;Entities/MapObjects/Act 2/Power 3/Coffin_StoneScripted2/Coffin_StoneScripted2_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;coffin_stonescripted2;;;0
;;coffin_stonescripted3;3;t2;;S;12;20;15.33%;;;;x;Entities/MapObjects/Act 2/Power 3/Coffin_StoneScripted3/Coffin_StoneScripted3_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;coffin_stonescripted3;;;0
;;handswithorb;3;t2;;S;12;7;5.37%;;;;x;Entities/MapObjects/Act 2/Power 3/HandsWithOrb/HandsWithOrb_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;handswithorb;;;0
;;handwithrings;3;t2;;S;12;7;5.37%;;;;x;Entities/MapObjects/Act 2/Power 3/HandWithRings/HandWithRings_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;handwithrings;;;0
;;magicseal1;3;t2;;S;12;100;76.67%;;;;x;Entities/MapObjects/Act 2/Power 3/MagicSeal1/MagicSeal1_Fab;GUI/Minimap/Minimap_Marker02_Spr;instant;;;code;magicseal1;;;0
