n/a;lvl;req.xp;#req.xpt;#inc.step;#curve;#;#$E$2;#$F$2;#$G$2;#$H$2;#$I$2;#$J$2;#$K$2;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;req.xp
;26;468;8408;10;1735;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;300;;-250
;27;480;8888;12;1778;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;300;;-250
;28;493;9381;13;1826;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;320;;-250
;29;507;9888;14;1879;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;320;;-250
;30;523;10411;16;1937;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;320;;-250
;31;540;10951;17;2000;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;340;;-250
;32;558;11509;18;2068;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;340;;-250
;33;578;12087;20;2141;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;340;;-250
;34;599;12686;21;2219;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;360;;-250
;35;622;13308;23;2302;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;360;;-250
;36;645;13953;23;2390;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;360;;-250
;37;670;14623;25;2483;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;380;;-250
;38;697;15320;27;2581;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;380;;-250
;39;725;16045;28;2684;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;380;;-250
;40;754;16799;29;2792;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;400;;-250
;41;784;17583;30;2905;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;400;;-250
;42;816;18399;32;3023;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;131;;-250
;43;849;19248;33;3146;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;44;884;20132;35;3274;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;45;920;21052;36;3407;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;46;957;22009;37;3545;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;47;996;23005;39;3688;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;48;1036;24041;40;3836;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;49;1077;25118;41;3989;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;638;;-250
;50;1120;26238;43;4147;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;51;1164;27402;44;4310;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;52;1209;28611;45;4478;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;53;1256;29867;47;4651;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;54;1304;31171;48;4829;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;55;1353;32524;49;5012;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;56;1404;33928;51;5200;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;57;1456;35384;52;5393;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;58;1510;36894;54;5591;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;59;1564;38458;54;5794;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;60;1621;40079;57;6002;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;61;1678;41757;57;6215;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;666;;-250
;62;1737;43494;59;6433;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;63;1797;45291;60;6656;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;64;1859;47150;62;6884;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;65;1922;49072;63;7117;205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;66;1986;51058;64;7355;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;67;2051;53109;65;7598;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;68;2118;55227;67;7846;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;69;2187;57414;69;8099;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;70;2256;59670;69;8357;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;71;2327;61997;71;8620;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;72;2400;64397;73;8888;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;73;2473;66870;73;9161;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;74;2549;69419;76;9439;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;75;2625;72044;76;9722;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;76;2703;74747;78;10010;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;77;2782;77529;79;10303;265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;78;2862;80391;80;10601;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;79;2944;83335;82;10904;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;80;3027;86362;83;11212;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;666;;-250
;81;3112;89474;85;11525;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;82;3198;92672;86;11843;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;83;3285;95957;87;12166;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;84;3373;99330;88;12494;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;85;3463;102793;90;12827;305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;86;3555;106348;92;13165;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;87;3647;109995;92;13508;315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;88;3741;113736;94;13856;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;89;3836;117572;95;14209;325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;90;3933;121505;97;14567;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;91;4031;125536;98;14930;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;92;4130;129666;99;15298;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;93;4231;133897;101;15671;345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;94;4333;138230;102;16049;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;95;4437;142667;104;16432;355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;96;4541;147208;104;16820;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;97;4648;151856;107;17213;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;98;4755;156611;107;17611;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;99;4864;161475;109;18014;375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;100;4974;166449;110;18422;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;101;5085;171534;111;18835;385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;102;5198;176732;113;19253;390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;103;5313;182045;115;19676;395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;104;5428;187473;115;20104;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;105;5545;193018;117;20537;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;106;5663;198681;118;20975;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;107;5783;204464;120;21418;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;108;5904;210368;121;21866;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;109;6026;216394;122;22319;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;110;6150;222544;124;22777;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;111;6275;228819;125;23240;435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;112;6401;235220;126;23708;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;113;6529;241749;128;24181;445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;114;6658;248407;129;24659;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;115;6788;255195;130;25142;455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;116;6920;262115;132;25630;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;117;7053;269168;133;26123;465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;118;7188;276356;135;26621;470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;119;7323;283679;135;27124;475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;120;7461;291140;138;27632;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;121;7599;298739;138;28145;485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;122;7739;306478;140;28663;490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;123;7880;314358;141;29186;495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;124;8023;322381;143;29714;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;125;8167;330548;144;30247;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;126;8312;338860;145;30785;510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;127;8459;347319;147;31328;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;128;8607;355926;148;31876;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;129;8756;364682;149;32429;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;130;8906;373588;150;32987;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;131;9059;382647;153;33550;535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;132;9212;391859;153;34118;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;133;9367;401226;155;34691;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;134;9523;410749;156;35269;550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;135;9680;420429;157;35852;555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;136;9839;430268;159;36440;560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;137;9999;440267;160;37033;565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;138;10160;450427;161;37631;570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;139;10323;460750;163;38234;575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;140;10487;471237;164;38842;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;141;10653;481890;166;39455;585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;142;10820;492710;167;40073;590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;143;10988;503698;168;40696;595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;144;11157;514855;169;41324;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;145;11328;526183;171;41957;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;146;11501;537684;173;42595;610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;147;11674;549358;173;43238;615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;148;11849;561207;175;43886;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;149;12026;573233;177;44539;625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;150;12203;585436;177;45197;630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;151;12382;597818;179;45860;635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;152;12563;610381;181;46528;640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;153;12744;623125;181;47201;645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;154;12927;636052;183;47879;650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155;13112;649164;185;48562;655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;156;13298;662462;186;49250;660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;157;13485;675947;187;49943;665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;158;13673;689620;188;50641;670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;159;13863;703483;190;51344;675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;160;14054;717537;191;52052;680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;161;14247;731784;193;52765;685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;162;14440;746224;193;53483;690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;163;14636;760860;196;54206;695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;164;14832;775692;196;54934;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;165;15030;790722;198;55667;705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;166;15229;805951;199;56405;710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;167;15430;821381;201;57148;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;168;15632;837013;202;57896;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;169;15835;852848;203;58649;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;170;16040;868888;205;59407;730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;171;16246;885134;206;60170;735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;172;16453;901587;207;60938;740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;173;16662;918249;209;61711;745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;174;16872;935121;210;62489;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;175;17083;952204;211;63272;755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;176;17296;969500;213;64060;760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;177;17510;987010;214;64853;765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;178;17726;1004736;216;65651;770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;179;17943;1022679;217;66454;775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;180;18161;1040840;218;67262;780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;181;18380;1059220;219;68075;785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;182;18601;1077821;221;68893;790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;183;18823;1096644;222;69716;795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;184;19047;1115691;224;70544;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;185;19272;1134963;225;71377;805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;186;19498;1154461;226;72215;810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;187;19726;1174187;228;73058;815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;188;19955;1194142;229;73906;820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;189;20185;1214327;230;74759;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;190;20417;1234744;232;75617;830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;191;20650;1255394;233;76480;835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;192;20884;1276278;234;77348;840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;193;21120;1297398;236;78221;845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;194;21357;1318755;237;79099;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;195;21595;1340350;238;79982;855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;196;21835;1362185;240;80870;860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;197;22076;1384261;241;81763;865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;198;22318;1406579;242;82661;870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;199;22562;1429141;244;83564;875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;200;22807;1451948;245;84472;880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
