n/a;type;is_pos;is_stun;pc_disabled;code;preload;vfx;effect_type;p1;v1;p2;v2;p3;v3;p4;v4;p5;v5;p6;v6;p7;v7;p8;v8;eol;s1;v1;s1s;s2;v2;s2s;s3;v3;s3s;s4;v4;v4s;s4;v4;v4s;s5;v5;v5s;s6;v6;v6s;s7;v7;v7s;s8;v8;v8s;eol;#persec;#persec;#tot;#ability;eol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;momentum;1;;stackable;hidden;TRUE;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;FALSE;FALSE;TRUE;revengeance;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;1;1;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected deals X% less *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;animosity;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;1;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ferocity;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;9999;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;FALSE;FALSE;TRUE;bloodied;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;rabies;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;FALSE;FALSE;TRUE;mangled;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;thebeastwithin;1;;stackable;hidden;TRUE;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;bloodmoon;1;;stackable;hidden;TRUE;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;dragonslayer;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;paranoid;1;Entities/VFX/Weakened/Weakened_Fab;out_dmg_perc;;;;;;;;;;;;;;;;;0;dur;8;1;per;-0.3;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected deals X% less *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;TRUE;shadowshift;1;;shadowshift;;;;;;;;;;;;;;;;;0;dur;2.5;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Used for the assassin’s talent tree.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;TRUE;stealth;1;;stealth;;;;;;;;;;;;;;;;;0;dur;4;1;cnt;1;1;;;;;;;;;;;;;;;;;;;;;;0;;;;Used for the assassin’s talent tree.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;NecromancerB_Missile;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;0.15;1;pow;1;1;minpow;14;1;maxpow;14;1;hpm;0;0;int;0.1;0;;;;;;;;;;0;140;0%;21+0%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;VampireLordB_Nova;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;0.15;1;pow;1;1;minpow;16;1;maxpow;16;1;hpm;0;0;int;0.1;0;;;;;;;;;;0;160;0%;24+0%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pinside_snail;;;on_effect_tile;code_status;pslow;;;;;;;;;;;;;;;0;dur;9999;1;int;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pslow;1;Entities/VFX/Slowed/Slowed_Fab;poison;;;;;;;;;;;;;;;;;0;dur;0.3;1;pow;0;1;minpow;0;1;maxpow;0;1;hpm;0;0;int;0.1;0;st1;-1.5;1;st2;0;1;cnt;1;1;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pdeathfield;;;statm_perc;stat1;mvm;stat2;vlc;stat3;spd;stat4;rot;;;;;;;;;0;dur;10;0.5;st1;-0.5;1;st2;-0.5;1;st3;-0.5;1;st4;-0.5;1;;;;;;;;;;;;;0;;;;(also affects missiles & other such entities) Movement and velocity of affected slowed by X%.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfeared_0.8s;1;;feared;code_immune;fear_immune;;;;;;;;;;;;;;;0;dur;0.8;0.33;per;0.4;1;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected moves away from its fearer at X% speed (stacking increases fear duration and sums speed multipliers additively before applying).;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pweakened;1;Entities/VFX/Weakened/Weakened_Fab;out_dmg_perc;;;;;;;;;;;;;;;;;0;dur;10;1;per;-0.3;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected deals X% less *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pweakened_8s;1;Entities/VFX/Weakened/Weakened_Fab;out_dmg_perc;;;;;;;;;;;;;;;;;0;dur;8;1;per;-0.3;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected deals X% less *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pmarked_8s;1;Entities/VFX/Marked/Marked_Fab;inc_dmg_perc;;;;;;;;;;;;;;;;;0;dur;8;1;per;0.3;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected takes X% more *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pruptured;1;Entities/VFX/Ruptured/pRuptured_Fab;ruptured;;;;;;;;;;;;;;;;;0;dur;4;1;pow;1;1;minpow;0.5;1;maxpow;0.5;1;rng;0.1;0;mul;1;0;;;;;;;;;;0;5;;20+1.2;Affected takes X damage for each 100 range moved | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pruptured_6s_1;1;Entities/VFX/Ruptured/pRuptured_Fab;ruptured;;;;;;;;;;;;;;;;;0;dur;4;1;pow;1;1;minpow;0.2;1;maxpow;0.2;1;rng;0.1;0;mul;1;0;;;;;;;;;;0;2;;8+1.2;Affected takes X damage for each 100 range moved | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pburning;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;5;1;pow;0;1;minpow;0;1;maxpow;0;1;hpm;0.002;0;int;0.1;0;;;;;;;;;;0;0;2%;0+10%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pburning_8s_2%;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;8;1;pow;0;1;minpow;0;1;maxpow;0;1;hpm;0.002;0;int;0.1;0;;;;;;;;;;0;0;2%;0+16%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
