n/a;code;#desc;#sort1;#t;#elite;#sec;isboss;team;#Hor;#Tan;#Ini;#Rng;#DPS;#Nuk;#Con;#Dis;#Sup;#Mob;#Acc;#tag1;#tag2;#tag3;#tag4;#family;persona;#minm;#mint2;#mint3;#mint4;#mint5;#200val;#;#rfr;#ms;#hits;#barrier;#dps;#dmg;#at;#are;#vlc;#aicd;#status;#pnc;#dur;tas;tam;mint1;rfr;val;#avgv;#maxv;#wcnt;#avggr;mingr;maxgr;max;#;smvm;shp;shpr;s%red;s%res;skbkres;sstares;schadod;shit;#;#mvmB;mvm;#1;#_tsca;_gro;2;#2;#_tsca;_gro;3;#3;#_tsca;_gro;4;#4;#_tsca;_gro;5;#5;#_tsca;_gro;#;#ghits;#;#;#;#;#;#;#;#;#;#hpB;#hits;hp;#1;#_tsca;_gro;2;#2;#_tsca;_gro;3;#3;#_tsca;_gro;4;#4;#_tsca;_gro;5;#5;#_tsca;_gro;#hprB;#hprs;#hpr%;hpr;#1;#_tsca;_gro;2;#2;#_tsca;_gro;3;#3;#_tsca;_gro;4;#4;#_tsca;_gro;5;#5;#_tsca;_gro;%red;#%red;_gro;%res;#%res;_gro;kbkres;#kbkres;_gro;stares;#stares;_gro;chadod;#chadod;_gro;hit;#hit;_gro;#hit;#drops;#avgxp;#xphpm;xpdrop;#xpdrop;_gro;xpdr%;tpdrop;#avgg1;#avgg2;#avgg3;#avgg4;#avgg5;gmin;#1;#_tsca;_gro;2;#2;#_tsca;_gro;3;#3;#_tsca;_gro;4;#4;#_tsca;_gro;5;#5;#_tsca;_gro;gmin;#1;#_tsca;_gro;2;#2;#_tsca;_gro;3;#3;#_tsca;_gro;4;#4;#_tsca;_gro;5;#5;#_tsca;_gro;goldr%;#enekidrop;#percdrop;#avgh;pdrop%;#enekidrop;#percdrop;pickup1;probw;pickup2;probw;pickup3;probw;pickup4;probw;eol;idrop%;#enekidrop;#percdrop;iam1;iam2;iam3;iam4;iam5;#iam1;#iam2;#iam3;#iam4;#iam5;#iamavg;#ntru1;#mtru1;#ngro1;#mgro1;brok;#brok;_gro1;#ntru2;#mtru2;#ngro2;#mgro2;comm;#comm;_gro2;#ntru3;#mtru3;#ngro3;#mgro3;rare;#rare;_gro3;#ntru4;#mtru4;#ngro4;#mgro4;epic;#epic;_gro4;#ntru5;#mtru5;#ngro5;#mgro5;myth;#myth;_gro5;#ntru6;#mtru6;#ngro6;#mgro6;immo;#immo;_gro6;#wsum0;#wsum20;treasure1;val1;#%;treasure2;val2;#%;treasure3;val3;#%;treasure4;val4;#%;treasure5;val5;#%;treasure6;val6;#%;treasure7;val7;#%;treasure8;val8;#%;treasure9;val9;#%;#t;eol;entity;variant;ai;ais_1;ability_1;ais_2;ability_2;ais_3;ability_3;ais_4;ability_4;ais_5;ability_5;ais_6;ability_6;ais_7;ability_7;ais_8;ability_8;ais_9;ability_9;ais_10;ability_10;ais_11;ability_11;ais_12;ability_12;ais_13;ability_13;ais_14;ability_14;ais_15;ability_15;ais_16;ability_16;ais_17;ability_17;ais_18;ability_18;ais_19;ability_19;ais_20;ability_20;ais_21;ability_21;ais_22;ability_22;eol;passive_1;passive_2;passive_3;eol
;SkeletonMossHoly;invulnerability shield pure dmg;21SkeletonSandShadow;3;0;;Minion;enemy;Hor;;;;;Nuk;;;;;;;;;;;pSkel;0;;;;;18.8;;4;1.7;1;80%;14.5;19;1.31;0.42;0;0.4;0;0;0;FALSE;1;8;4;8;64;79992;12.5;8;4;12;9999;;1;1;1;1;1;1;1;1;1;;;1.4;2.9;0;0.92;1.61;3;0;0.89;1.7;3.2;0;0.86;1.79;3.3;0;0.83;1.88;3.4;0;0.81;;1.1;2.5;0.94;3.4;0.78;4.1;1.5;10;2;18;;0.98;110;1100;0;9;160;2320;0;13.5;308;5852;0;18;1100;25850;0;22.5;2090;58520;0;27;;22.2s;4.5%;5;35;0;6;7.7;54;0;6;10;70;0;6;13;91;0;6;16;112;0;6;;;;;;;;;;;;;;;;0.8;0.8;0;0.8;9.25;5.6;1.01;5.6;5.6;0;1;0;0.43;2.6;6.9;13.4;22;2;6;0;2;12;36;0;2;32;96;0;2;62;186;0;2;102;306;0;2;4.5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0617;16.2;6.2%;0;0.0022;455;0.22%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0051;196;0.51%;1;;;;;100%;';';';';1;0.37%;0%;72.9%;0%;300;0;-1;0.12%;0.37%;24.3%;72.7%;100;100;0;0.012%;0.11%;2.43%;21.8%;10;30;2;0.002%;0.023%;0.3%;4.54%;1.25;6.25;4;0%;0.005%;0.036%;0.98%;0.15;1.35;8;0%;0%;0%;0%;0;0;0;411.4;137.6;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/SkeletonMoss/SkeletonMoss_Fab;gold;ai_melee;slash;SkeletonHoly_Slash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;ProtectionShieldFast;;;0
;SkeletonNoXp;;11SkeletonNoXp;1;0;;Minion;enemy;Hor;;;;;;;;;;;Armored;;;;fSkel;pSkel;#REF!;;;;;150;;0;0.92;0.2;0%;14.5;19;1.31;0.42;0;0.4;0;0;0;FALSE;1;0;0;1;20;9999;50;20;16;24;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.99;0;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;#DIV/0!;0%;0;0.0001;10000;0.01%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0012;833;0.12%;1;;;;;100%;';';';';1;0.088%;0%;73.5%;0%;300;0;-1;0.029%;0.094%;24.5%;78.6%;100;100;0;0.002%;0.021%;1.84%;17.7%;7.5;22.5;2;0%;0.004%;0.18%;2.95%;0.75;3.75;4;0%;0.001%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;Skeleton_Slash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
;SkeletonTrash0;;11SkeletonTrash0;1;0;;Minion;enemy;Hor;;;;;;;;;;;Skeletal;;;;fSkel;pSkel;#REF!;;;;;9999 + 150s;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;0;0;0;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.05;0.6;0.99;1;1;0;0.6;0;0.002;0.011;0.029;0.056;0.092;1;3;0;2;6;18;0;2;16;48;0;2;31;93;0;2;51;153;0;2;4.5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0003;3333;0%;0;0;#DIV/0!;0%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0001;10000;0.01%;1;;;;;100%;';';';';1;0.007%;0%;73.5%;0%;300;0;-1;0.002%;0.008%;24.5%;78.6%;100;100;0;0%;0.002%;1.84%;17.7%;7.5;22.5;2;0%;0%;0.18%;2.95%;0.75;3.75;4;0%;0%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
;SkeletonSandTrash0;;21SkeletonSandTrash0;2;0;;Minion;enemy;Hor;;;;;;;;;;;;;;;;pSkel;#REF!;;;;;9999 + 150s;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;0;0;0;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.05;0.6;0.99;1;1;0;0.6;0;0.002;0.011;0.029;0.056;0.092;1;3;0;2;6;18;0;2;16;;0;2;31;93;0;2;51;153;0;2;5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0003;3333;0%;0;0;#DIV/0!;0%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0001;10000;0.01%;1;0;0;0;0;100%;';';';';1;0.007%;0%;73.5%;0%;300;0;-1;0.12%;0.37%;24.5%;78.6%;100;100;0;0%;0.002%;1.84%;17.7%;7.5;22.5;2;0%;0%;0.18%;2.95%;0.75;3.75;4;0%;0%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0
;SkeletonMossTrash0;;31SkeletonMossTrash0;3;0;;Minion;enemy;Hor;;;;;;;;;;;;;;;;pSkel;#REF!;;;;;9999 + 150s;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;0;0;0;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.05;0.6;0.99;1;1;0;0.6;0;0.002;0.011;0.029;0.056;0.092;1;3;0;2;6;18;0;2;16;;0;2;31;93;0;2;51;153;0;2;5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0003;3333;0%;0;0;#DIV/0!;0%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0001;10000;0.01%;1;0;0;0;0;100%;';';';';1;0.007%;0%;73.5%;0%;300;0;-1;0.12%;0.37%;24.5%;78.6%;100;100;0;0%;0.002%;1.84%;17.7%;7.5;22.5;2;0%;0%;0.18%;2.95%;0.75;3.75;4;0%;0%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/SkeletonMoss/SkeletonMoss_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0
;SkeletonTrash1;;11SkeletonTrash1;1;0;;Minion;enemy;Hor;;;;;;;;;;;Skeletal;;;;fSkel;pSkel;#REF!;;;;;150;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;1;9999;9999;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.99;0.6;0.99;1;1;0;0.6;0;0.04;0.24;0.63;1.2;2;1;3;0;2;6;18;0;2;16;48;0;2;31;93;0;2;51;153;0;2;4.5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0066;152;0.7%;0;0.0001;10000;0.01%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0012;833;0.12%;1;;;;;100%;';';';';1;0.088%;0%;73.5%;0%;300;0;-1;0.029%;0.094%;24.5%;78.6%;100;100;0;0.002%;0.021%;1.84%;17.7%;7.5;22.5;2;0%;0.004%;0.18%;2.95%;0.75;3.75;4;0%;0.001%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
;SkeletonSandTrash1;;21SkeletonSandTrash1;2;0;;Minion;enemy;Hor;;;;;;;;;;;;;;;;pSkel;#REF!;;;;;150;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;1;9999;9999;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.99;0.6;0.99;1;1;0;0.6;0;0.04;0.24;0.63;1.2;2;1;3;0;2;6;18;0;2;16;;0;2;31;93;0;2;51;153;0;2;5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0066;152;0.7%;0;0.0001;10000;0.01%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0012;833;0.12%;1;0;0;0;0;100%;';';';';1;0.088%;0%;73.5%;0%;300;0;-1;0.12%;0.37%;24.5%;78.6%;100;100;0;0.002%;0.021%;1.84%;17.7%;7.5;22.5;2;0%;0.004%;0.18%;2.95%;0.75;3.75;4;0%;0.001%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0
;SkeletonMossTrash1;;31SkeletonMossTrash1;3;0;;Minion;enemy;Hor;;;;;;;;;;;;;;;;pSkel;#REF!;;;;;150;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;1;9999;9999;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;0.99;0.6;0.99;1;1;0;0.6;0;0.04;0.24;0.63;1.2;2;1;3;0;2;6;18;0;2;16;;0;2;31;93;0;2;51;153;0;2;5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0066;152;0.7%;0;0.0001;10000;0.01%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0012;833;0.12%;1;0;0;0;0;100%;';';';';1;0.088%;0%;73.5%;0%;300;0;-1;0.12%;0.37%;24.5%;78.6%;100;100;0;0.002%;0.021%;1.84%;17.7%;7.5;22.5;2;0%;0.004%;0.18%;2.95%;0.75;3.75;4;0%;0.001%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/SkeletonMoss/SkeletonMoss_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0
;SkeletonTrash2;;11SkeletonTrash2;1;0;;Minion;enemy;Hor;;;;;;;;;;;Skeletal;;;;fSkel;pSkel;#REF!;;;;;75;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;2;19998;19998;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;1.92;0.6;0.99;1;1;0;0.6;0;0.077;0.46;1.2;2.4;3.9;1;3;0;2;6;18;0;2;16;48;0;2;31;93;0;2;51;153;0;2;4.5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0128;78.1;1.3%;0;0.0002;5000;0.02%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0024;417;0.24%;1;;;;;100%;';';';';1;0.18%;0%;73.5%;0%;300;0;-1;0.059%;0.19%;24.5%;78.6%;100;100;0;0.004%;0.042%;1.84%;17.7%;7.5;22.5;2;0%;0.007%;0.18%;2.95%;0.75;3.75;4;0%;0.002%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
;SkeletonSandTrash2;;21SkeletonSandTrash2;2;0;;Minion;enemy;Hor;;;;;;;;;;;;;;;;pSkel;#REF!;;;;;75;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;2;19998;19998;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;1.92;0.6;0.99;1;1;0;0.6;0;0.077;0.46;1.2;2.4;3.9;1;3;0;2;6;18;0;2;16;;0;2;31;93;0;2;51;153;0;2;5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0128;78.1;1.3%;0;0.0002;5000;0.02%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0024;417;0.24%;1;0;0;0;0;100%;';';';';1;0.18%;0%;73.5%;0%;300;0;-1;0.12%;0.37%;24.5%;78.6%;100;100;0;0.004%;0.042%;1.84%;17.7%;7.5;22.5;2;0%;0.007%;0.18%;2.95%;0.75;3.75;4;0%;0.002%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/Skeleton/Skeleton_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0
;SkeletonMossTrash2;;31SkeletonMossTrash2;3;0;;Minion;enemy;Hor;;;;;;;;;;;;;;;;pSkel;#REF!;;;;;75;;0;0.92;0.2;0%;9.9;13;1.31;0.42;0;0.6;0;0;0;FALSE;1;0;0;2;19998;19998;50;9999;9999;9999;9999;;1;1;1;1;1;1;1;1;1;;;0.82;1.85;0;1.25;0.87;1.93;0;1.22;0.92;2;0;1.19;0.97;2.1;0;1.16;1.02;2.2;0;1.13;;0.22;0.49;0.19;0.68;0.16;0.82;0.3;2.1;0.4;3.5;;0.21;22;220;0;9;32;464;0;13.5;62;1178;0;18;220;5170;0;22.5;418;11704;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|;1.92;0.6;0.99;1;1;0;0.6;0;0.077;0.46;1.2;2.4;3.9;1;3;0;2;6;18;0;2;16;;0;2;31;93;0;2;51;153;0;2;5;15;0;2;30;90;0;2;80;240;0;2;155;465;0;2;255;765;0;2;0.0128;78.1;1.3%;0;0.0002;5000;0.02%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0024;417;0.24%;1;0;0;0;0;100%;';';';';1;0.18%;0%;73.5%;0%;300;0;-1;0.12%;0.37%;24.5%;78.6%;100;100;0;0.004%;0.042%;1.84%;17.7%;7.5;22.5;2;0%;0.007%;0.18%;2.95%;0.75;3.75;4;0%;0.002%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/SkeletonMoss/SkeletonMoss_Fab;default;ai_melee;slash;SkeletonTrash1_Slash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0
;BlackKnight;;11BlackKnight;1;0;;Minion;enemy;;Tan;;;;;;;;;;Armored;;;;fBlacKnig;pBlacKnig;#REF!;;;;;7 + 38s;;9;1.4;2.8;72%;34.3;34;0.99;3.1;0;0.98;0;0;0;TRUE;1;1;9;16;48;112;5.6;3;2;4;7;;1;1;1;1;1;1;1;1;1;;;1.25;2.5;0;1.02;1.33;2.6;0;0.99;1.4;2.7;0;0.96;1.48;2.9;0;0.93;1.55;3;0;0.91;;3.1;6.9;2.6;9.5;2.2;11;4.2;29;5.6;49;;2.8;308;3080;0;9;447;6482;0;13.5;862;16378;0;18;3080;72380;0;22.5;5852;163856;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;;0.33;0.33;0;;;;;;;;;;0.72;0.72;0;2;24.5;15;1.05;15;15;0;1;0;2.6;15.7;41.8;81;133.3;4;12;0;2;24;72;0;2;64;192;0;2;124;372;0;2;204;612;0;2;12;36;0;2;72;216;0;2;192;576;0;2;372;1116;0;2;612;1836;0;2;0.1633;6.1;16.3%;0;0.0058;172;0.58%;pi_heal;1;pi_stamina;0.04;pi_collector;0.08;pi_invulnerability;0.015;0;0.0613;16;6.13%;1;;;;;100%;';';';';1;4.51%;0%;73.5%;0%;300;0;-1;1.5%;4.82%;24.5%;78.6%;100;100;0;0.11%;1.09%;1.84%;17.7%;7.5;22.5;2;0.011%;0.18%;0.18%;2.95%;0.75;3.75;4;0.001%;0.044%;0.024%;0.71%;0.1;0.9;8;0%;0%;0%;0%;0;0;0;408.35;127.15;Tr_Any;15;10%;Tr_AnyAttack;20;17%;Tr_AnyDash;15;12%;Tr_AnyStrike;15;12%;Tr_AnyCast;15;12%;Tr_AnyPower;15;12%;Tr_AnySummon;15;12%;Tr_AnyStatus;11;9%;;;0%;121;0;Entities/Monsters/BlackKnight/BlackKnight_Fab;default;ai_melee;slash;BlackKnight_Slash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0
