n/a;#;#;#;#;#;#;;;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;#;a1%;a2%;a3%;a4%;a5%;a6%;a7%;a8%;a9%;a10%;a11%;a12%;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;eol
;01_02;02_01;???;weapcomm;weap2;Weapon;weap;comm;weap1;22;36;29;35.5;-6.5;35;36;35.5;0;0;0;0;0;0;;weap2;70;99;84.5;86.5;-2;74;99;86.5;0;0;0;0;0;0;;weap3;184;235;209.5;152.5;57;134;171;152.5;0;0;0;0;0;0;;weap4;316;375;345.5;228.5;117;209;248;228.5;0;0;0;0;0;0;;weap5;467;526;496.5;303;193.5;285;321;303;0;0;0;0;0;0;;weap;1.44;1;0.8;;;;;;;;;;;55.56%;44.44%;';';';';';;';';';';;;;;;;;;;;;0
;02_02;02_02;Head_Armet_01;headcomm;head2;Head;head;comm;head1;13;22;17.5;0.8;16.7;6;10;8;0;0;0;0;0;0;;head2;42;59;50.5;1.6;48.9;13;18;15.5;0;0;0;0;0;0;;head3;110;141;125.5;2.7;122.8;23;30;26.5;0;0;0;0;0;0;;head4;190;225;207.5;4;203.5;36;43;39.5;0;0;0;0;0;0;;head5;280;316;298;5.3;292.7;50;56;53;0;0;0;0;0;0;;head;1.41;1;0.7;;;;;;;;;;;58.82%;41.18%;';';';;';';';';';';;;;;;;;;;;;0
;03_02;02_03;Tors_ClothRobe_01;torscomm;tors2;Torso;tors;comm;tors1;22;36;29;2.9;26.1;11;18;14.5;0;0;0;0;0;0;;tors2;70;99;84.5;5.5;79;23;32;27.5;0;0;0;0;0;0;;tors3;184;235;209.5;77.4;132.1;41;53;47;0;0;0;68;68;68;;tors4;316;375;345.5;93.2;252.3;65;77;71;0;0;0;79;79;79;;tors5;467;526;496.5;198.7;297.8;88;99;93.5;0;0;0;180;180;180;;tors;1.44;1;0.8;;;;;;;;;;;55.56%;44.44%;';';';';';;';';';';;;;;;;;;;;;0
;04_02;02_04;Hand_Cloth_01;handcomm;hand2;Hands;hand;comm;hand1;10;16;13;0.6;12.4;2;4;3;0;0;0;0;0;0;;hand2;32;45;38.5;24.2;14.3;5;7;6;19;27;23;0;0;0;;hand3;83;106;94.5;28.1;66.4;9;12;10.5;23;29;26;0;0;0;;hand4;142;169;155.5;45.6;109.9;14;17;15.5;39;46;42.5;0;0;0;;hand5;210;237;223.5;64.6;158.9;19;22;20.5;57;64;60.5;0;0;0;;hand;1.38;1;0.6;;;;;;;;;;;62.5%;37.5%;';';;';';';';';';';;;;;;;;;;;;0
;05_02;02_05;Wais_Leather_01;waiscomm;wais2;Waist;wais;comm;wais1;6;9;7.5;0.5;7;1;2;1.5;0;0;0;0;0;0;;wais2;18;25;21.5;1.2;20.3;3;4;3.5;0;0;0;0;0;0;;wais3;46;59;52.5;1.9;50.6;5;6;5.5;0;0;0;0;0;0;;wais4;79;94;86.5;3;83.5;8;9;8.5;0;0;0;0;0;0;;wais5;117;132;124.5;4;120.5;11;12;11.5;0;0;0;0;0;0;;wais;1.23;1;0.3;;;;;;;;;;;76.92%;23.08%;';;';';';';';';';';;;;;;;;;;;;0
;06_02;02_06;Feet_Cloth_01;feetcomm;feet2;Feet;feet;comm;feet1;10;16;13;0.8;12.2;3;5;4;0;0;0;0;0;0;;feet2;32;45;38.5;10.7;27.8;7;10;8.5;0;0;0;6;12;9;;feet3;83;106;94.5;29.9;64.6;13;16;14.5;0;0;0;18;36;27;;feet4;142;169;155.5;40.4;115.1;20;24;22;0;0;0;24;48;36;;feet5;210;237;223.5;50.8;172.7;27;31;29;0;0;0;30;60;45;;feet;1.38;1;0.6;;;;;;;;;;;62.5%;37.5%;';';;';';';';';';';;;;;;;;;;;;0
;07_02;02_07;Ring_Basic_01;ringcomm;ring2;Ring;ring;comm;ring1;8;13;10.5;0;10.5;0;0;0;0;0;0;0;0;0;;ring2;25;35;30;10.5;19.5;0;0;0;0;0;0;7;14;10.5;;ring3;64;82;73;31.5;41.5;0;0;0;0;0;0;21;42;31.5;;ring4;111;131;121;42;79;0;0;0;0;0;0;28;56;42;;ring5;163;184;173.5;52.5;121;0;0;0;0;0;0;35;70;52.5;;ring;1.38;1;0.6;;;;;;;;;;;62.5%;37.5%;';;';';';';';';';';;;;;;;;;;;;0
;08_02;02_08;Jewl_BasicRed_01;jewlcomm;jewl2;Jewel;jewl;comm;jewl1;8;13;10.5;0;10.5;0;0;0;0;0;0;0;0;0;;jewl2;25;35;30;10.5;19.5;0;0;0;0;0;0;7;14;10.5;;jewl3;64;82;73;31.5;41.5;0;0;0;0;0;0;21;42;31.5;;jewl4;111;131;121;42;79;0;0;0;0;0;0;28;56;42;;jewl5;163;184;173.5;52.5;121;0;0;0;0;0;0;35;70;52.5;;jewl;1.38;1;0.6;;;;;;;;;;;62.5%;37.5%;';;';';';';';';';';;;;;;;;;;;;0
;09_02;02_09;Amul_Basic_01;amulcomm;amul2;Amulet;amul;comm;amul1;8;13;10.5;0;10.5;0;0;0;0;0;0;0;0;0;;amul2;25;35;30;10.5;19.5;0;0;0;0;0;0;7;14;10.5;;amul3;64;82;73;31.5;41.5;0;0;0;0;0;0;21;42;31.5;;amul4;111;131;121;42;79;0;0;0;0;0;0;28;56;42;;amul5;163;184;173.5;52.5;121;0;0;0;0;0;0;35;70;52.5;;amul;1.38;1;0.6;;;;;;;;;;;62.5%;37.5%;';';;';';';';';';';;;;;;;;;;;;0
;10_02;02_10;Reli_Coral_01;relicomm;reli2;Relic;reli;comm;reli1;11;18;14.5;0;14.5;0;0;0;0;0;0;0;0;0;;reli2;35;50;42.5;8.5;34;0;0;0;0;0;0;6;11;8.5;;reli3;92;118;105;30;75;0;0;0;0;0;0;20;40;30;;reli4;158;188;173;43.5;129.5;0;0;0;0;0;0;29;58;43.5;;reli5;234;263;248.5;63;185.5;0;0;0;0;0;0;42;84;63;;reli;1.41;1;0.7;;;;;;;;;;;58.82%;41.18%;';';';;';';';';';';;;;;;;;;;;;0
;01_03;03_01;???;weaprare;weap3;Weapon;weap;rare;weap1;41;61;51;48.5;2.5;39;58;48.5;0;0;0;0;0;0;;weap2;127;167;147;93.5;53.5;81;106;93.5;0;0;0;0;0;0;;weap3;256;310;283;157.5;125.5;142;173;157.5;0;0;0;0;0;0;;weap4;413;472;442.5;234.5;208;219;250;234.5;0;0;0;0;0;0;;weap5;621;681;651;319;332;304;334;319;0;0;0;0;0;0;;weap;1.92;0.8;1;0.5;0.05;;;;;;;;;34.04%;42.55%;21.28%;2.13%;';';';';';';';';;;;;;;;;;;;0
;02_03;03_02;Head_Armet_01;headrare;head3;Head;head;rare;head1;25;37;31;0.9;30.1;7;10;8.5;0;0;0;0;0;0;;head2;76;100;88;1.7;86.3;14;19;16.5;0;0;0;0;0;0;;head3;154;186;170;2.8;167.2;25;30;27.5;0;0;0;0;0;0;;head4;248;283;265.5;4.1;261.4;38;44;41;0;0;0;0;0;0;;head5;373;409;391;5.6;385.4;53;58;55.5;0;0;0;0;0;0;;head;1.91;0.7;1;0.4;0.05;;;;;;;;;32.56%;46.51%;18.6%;2.33%;';';';';';';';';;;;;;;;;;;;0
;03_03;03_03;Tors_ClothRobe_01;torsrare;tors3;Torso;tors;rare;tors1;41;61;51;3;48;12;18;15;0;0;0;0;0;0;;tors2;127;167;147;61.8;85.2;25;33;29;0;0;0;56;56;56;;tors3;256;310;283;145.7;137.3;44;53;48.5;0;0;0;136;136;136;;tors4;413;472;442.5;172.5;270;68;77;72.5;0;0;0;158;158;158;;tors5;621;681;651;289.7;361.3;94;103;98.5;0;0;0;270;270;270;;tors;1.92;0.8;1;0.5;0.05;;;;;;;;;34.04%;42.55%;21.28%;2.13%;';';';';';';';';;;;;;;;;;;;0
;04_03;03_04;Hand_Cloth_01;handrare;hand3;Hands;hand;rare;hand1;18;27;22.5;9.7;12.8;3;4;3.5;7;11;9;0;0;0;;hand2;57;75;66;30.2;35.8;5;7;6;25;33;29;0;0;0;;hand3;115;140;127.5;36.7;90.8;10;12;11;31;38;34.5;0;0;0;;hand4;186;212;199;57.7;141.3;15;17;16;51;58;54.5;0;0;0;;hand5;279;306;292.5;83.9;208.6;21;23;22;76;83;79.5;0;0;0;;hand;1.84;0.6;1;0.3;;;;;;;;;;31.58%;52.63%;15.79%;';';';';';';';';';;;;;;;;;;;;0
;05_03;03_05;Wais_Leather_01;waisrare;wais3;Waist;wais;rare;wais1;10;15;12.5;0.5;12;1;2;1.5;0;0;0;0;0;0;;wais2;32;42;37;1.2;35.8;3;4;3.5;0;0;0;0;0;0;;wais3;64;78;71;2.1;68.9;5;7;6;0;0;0;0;0;0;;wais4;103;118;110.5;3;107.5;8;9;8.5;0;0;0;0;0;0;;wais5;155;170;162.5;4.2;158.3;11;13;12;0;0;0;0;0;0;;wais;1.93;0.3;1;0.2;;;;;;;;;;20%;66.67%;13.33%;';';';';';';';';';;;;;;;;;;;;0
;06_03;03_06;Feet_Cloth_01;feetrare;feet3;Feet;feet;rare;feet1;18;27;22.5;14.5;8;4;6;5;0;0;0;9;18;13.5;;feet2;57;75;66;28.8;37.2;8;10;9;0;0;0;18;36;27;;feet3;115;140;127.5;43.6;83.9;14;17;15.5;0;0;0;27;54;40.5;;feet4;186;212;199;58.5;140.5;21;24;22.5;0;0;0;36;72;54;;feet5;279;306;292.5;73.6;218.9;29;32;30.5;0;0;0;45;90;67.5;;feet;1.84;0.6;1;0.3;;;;;;;;;;31.58%;52.63%;15.79%;';';';';';';';';';;;;;;;;;;;;0
;07_03;03_07;Ring_Basic_01;ringrare;ring3;Ring;ring;rare;ring1;14;21;17.5;16;1.5;0;0;0;0;0;0;11;21;16;;ring2;44;58;51;31.5;19.5;0;0;0;0;0;0;21;42;31.5;;ring3;90;109;99.5;47.5;52;0;0;0;0;0;0;32;63;47.5;;ring4;145;165;155;63;92;0;0;0;0;0;0;42;84;63;;ring5;217;238;227.5;79;148.5;0;0;0;0;0;0;53;105;79;;ring;1.84;0.6;1;0.3;;;;;;;;;;31.58%;52.63%;15.79%;';';';';';';';';';;;;;;;;;;;;0
;08_03;03_08;Jewl_BasicRed_01;jewlrare;jewl3;Jewel;jewl;rare;jewl1;14;21;17.5;16;1.5;0;0;0;0;0;0;11;21;16;;jewl2;44;58;51;31.5;19.5;0;0;0;0;0;0;21;42;31.5;;jewl3;90;109;99.5;47.5;52;0;0;0;0;0;0;32;63;47.5;;jewl4;145;165;155;63;92;0;0;0;0;0;0;42;84;63;;jewl5;217;238;227.5;79;148.5;0;0;0;0;0;0;53;105;79;;jewl;1.84;0.6;1;0.3;;;;;;;;;;31.58%;52.63%;15.79%;';';';';';';';';';;;;;;;;;;;;0
;09_03;03_09;Amul_Basic_01;amulrare;amul3;Amulet;amul;rare;amul1;14;21;17.5;16;1.5;0;0;0;0;0;0;11;21;16;;amul2;44;58;51;31.5;19.5;0;0;0;0;0;0;21;42;31.5;;amul3;90;109;99.5;47.5;52;0;0;0;0;0;0;32;63;47.5;;amul4;145;165;155;63;92;0;0;0;0;0;0;42;84;63;;amul5;217;238;227.5;79;148.5;0;0;0;0;0;0;53;105;79;;amul;1.84;0.6;1;0.3;;;;;;;;;;31.58%;52.63%;15.79%;';';';';';';';';';;;;;;;;;;;;0
;10_03;03_10;Reli_Coral_01;relirare;reli3;Relic;reli;rare;reli1;21;31;26;10;16;0;0;0;0;0;0;7;13;10;;reli2;64;84;74;24;50;0;0;0;0;0;0;16;32;24;;reli3;128;155;141.5;44.5;97;0;0;0;0;0;0;30;59;44.5;;reli4;207;236;221.5;64.5;157;0;0;0;0;0;0;43;86;64.5;;reli5;311;341;326;94.5;231.5;0;0;0;0;0;0;63;126;94.5;;reli;2;0.7;1;0.6;0.05;;;;;;;;;29.79%;42.55%;25.53%;2.13%;';';';';';';';';;;;;;;;;;;;0
;01_04;04_01;???;weapepic;weap4;Weapon;weap;epic;weap1;69;93;81;56;25;48;64;56;0;0;0;0;0;0;;weap2;191;235;213;113;100;101;125;113;0;0;0;0;0;0;;weap3;329;394;361.5;191.5;170;174;209;191.5;0;0;0;0;0;0;;weap4;505;586;545.5;282;263.5;261;303;282;0;0;0;0;0;0;;weap5;764;862;813;409.5;403.5;385;434;409.5;0;0;0;0;0;0;;weap;2.54;0.33;1;0.96;0.36;0.036;;;;;;;;12.29%;37.23%;35.74%;13.4%;1.34%;';';';';';';';;;;;;;;;;;;0
;02_04;04_02;Head_Armet_01;headepic;head4;Head;head;epic;head1;41;56;48.5;1;47.5;8;11;9.5;0;0;0;0;0;0;;head2;115;141;128;2;126;18;22;20;0;0;0;0;0;0;;head3;197;236;216.5;3.3;213.2;30;36;33;0;0;0;0;0;0;;head4;303;352;327.5;4.9;322.6;45;53;49;0;0;0;0;0;0;;head5;458;517;487.5;7.2;480.3;67;76;71.5;0;0;0;0;0;0;;head;2.49;0.26;1;0.84;0.24;0.036;;;;;;;;10.94%;42.09%;35.35%;10.1%;1.52%;';';';';';';';;;;;;;;;;;;0
;03_04;04_03;Tors_ClothRobe_01;torsepic;tors4;Torso;tors;epic;tors1;69;93;81;48.5;32.5;15;20;17.5;0;0;0;45;45;45;;tors2;191;235;213;63;150;31;39;35;0;0;0;56;56;56;;tors3;329;394;361.5;147.9;213.6;54;65;59.5;0;0;0;136;136;136;;tors4;505;586;545.5;175.5;370;81;94;87.5;0;0;0;158;158;158;;tors5;764;862;813;295.3;517.7;119;134;126.5;0;0;0;270;270;270;;tors;2.54;0.33;1;0.96;0.36;0.036;;;;;;;;12.29%;37.23%;35.74%;13.4%;1.34%;';';';';';';';;;;;;;;;;;;0
;04_04;04_04;Hand_Cloth_01;handepic;hand4;Hands;hand;epic;hand1;31;42;36.5;22.7;13.8;3;4;3.5;19;25;22;0;0;0;;hand2;86;106;96;32.5;63.5;7;8;7.5;28;34;31;0;0;0;;hand3;148;177;162.5;46.6;115.9;12;14;13;40;48;44;0;0;0;;hand4;227;264;245.5;70.9;174.6;18;21;19.5;62;72;67;0;0;0;;hand5;344;388;366;105.5;260.5;26;29;27.5;94;106;100;0;0;0;;hand;2.32;0.2;1;0.72;0.06;;;;;;;;;10.1%;50.51%;36.36%;3.03%;';';';';';';';';;;;;;;;;;;;0
;05_04;04_05;Wais_Leather_01;waisepic;wais4;Waist;wais;epic;wais1;17;23;20;0.7;19.3;2;2;2;0;0;0;0;0;0;;wais2;48;59;53.5;1.6;51.9;4;5;4.5;0;0;0;0;0;0;;wais3;82;99;90.5;2.6;87.9;7;8;7.5;0;0;0;0;0;0;;wais4;126;147;136.5;3.7;132.8;10;11;10.5;0;0;0;0;0;0;;wais5;191;216;203.5;5.4;198.1;15;16;15.5;0;0;0;0;0;0;;wais;2.15;0.13;1;0.36;;;;;;;;;;8.72%;67.11%;24.16%;';';';';';';';';';;;;;;;;;;;;0
;06_04;04_06;Feet_Cloth_01;feetepic;feet4;Feet;feet;epic;feet1;31;42;36.5;20.1;16.4;5;6;5.5;0;0;0;14;24;19;;feet2;86;106;96;40.7;55.3;10;12;11;0;0;0;29;48;38.5;;feet3;148;177;162.5;61.2;101.3;17;20;18.5;0;0;0;43;72;57.5;;feet4;227;264;245.5;82.4;163.1;25;29;27;0;0;0;58;96;77;;feet5;344;388;366;103.9;262.1;37;42;39.5;0;0;0;72;120;96;;feet;2.32;0.2;1;0.72;0.06;;;;;;;;;10.1%;50.51%;36.36%;3.03%;';';';';';';';';;;;;;;;;;;;0
;07_04;04_07;Ring_Basic_01;ringepic;ring4;Ring;ring;epic;ring1;24;33;28.5;22.5;6;0;0;0;0;0;0;17;28;22.5;;ring2;67;82;74.5;45;29.5;0;0;0;0;0;0;34;56;45;;ring3;115;138;126.5;67;59.5;0;0;0;0;0;0;50;84;67;;ring4;177;205;191;89.5;101.5;0;0;0;0;0;0;67;112;89.5;;ring5;267;302;284.5;112;172.5;0;0;0;0;0;0;84;140;112;;ring;2.32;0.2;1;0.72;0.06;;;;;;;;;10.1%;50.51%;36.36%;3.03%;';';';';';';';';;;;;;;;;;;;0
;08_04;04_08;Jewl_BasicRed_01;jewlepic;jewl4;Jewel;jewl;epic;jewl1;24;33;28.5;22.5;6;0;0;0;0;0;0;17;28;22.5;;jewl2;67;82;74.5;45;29.5;0;0;0;0;0;0;34;56;45;;jewl3;115;138;126.5;67;59.5;0;0;0;0;0;0;50;84;67;;jewl4;177;205;191;89.5;101.5;0;0;0;0;0;0;67;112;89.5;;jewl5;267;302;284.5;112;172.5;0;0;0;0;0;0;84;140;112;;jewl;2.32;0.2;1;0.72;0.06;;;;;;;;;10.1%;50.51%;36.36%;3.03%;';';';';';';';';;;;;;;;;;;;0
;09_04;04_09;Amul_Basic_01;amulepic;amul4;Amulet;amul;epic;amul1;24;33;28.5;22.5;6;0;0;0;0;0;0;17;28;22.5;;amul2;67;82;74.5;45;29.5;0;0;0;0;0;0;34;56;45;;amul3;115;138;126.5;67;59.5;0;0;0;0;0;0;50;84;67;;amul4;177;205;191;89.5;101.5;0;0;0;0;0;0;67;112;89.5;;amul5;267;302;284.5;112;172.5;0;0;0;0;0;0;84;140;112;;amul;2.32;0.2;1;0.72;0.06;;;;;;;;;10.1%;50.51%;36.36%;3.03%;';';';';';';';';;;;;;;;;;;;0
;10_04;04_10;Reli_Coral_01;reliepic;reli4;Relic;reli;epic;reli1;35;47;41;13;28;0;0;0;0;0;0;9;17;13;;reli2;96;118;107;32.5;74.5;0;0;0;0;0;0;22;43;32.5;;reli3;165;197;181;59.5;121.5;0;0;0;0;0;0;40;79;59.5;;reli4;253;293;273;86.5;186.5;0;0;0;0;0;0;58;115;86.5;;reli5;382;431;406.5;126;280.5;0;0;0;0;0;0;84;168;126;;reli;2.41;0.4;1;0.84;0.24;0.036;;;;;;;;15.9%;39.75%;33.39%;9.54%;1.43%;';';';';';';';;;;;;;;;;;;0
;01_05;05_01;???;weapmyth;weap5;Weapon;weap;myth;weap1;143;143;143;75;68;75;75;75;0;0;0;0;0;0;;weap2;279;279;279;150;129;150;150;150;0;0;0;0;0;0;;weap3;440;440;440;250;190;250;250;250;0;0;0;0;0;0;;weap4;649;649;649;350;299;350;350;350;0;0;0;0;0;0;;weap5;975;975;975;500;475;500;500;500;0;0;0;0;0;0;;weap;2.65;0.22;0.9;1;0.375;0.038;;;;;;;;8.69%;35.53%;39.48%;14.8%;1.5%;';';';';';';';;;;;;;;;;;;0
;02_05;05_02;Head_Armet_01;headmyth;head5;Head;head;myth;head1;86;86;86;1.4;84.6;14;14;14;0;0;0;0;0;0;;head2;167;167;167;2.9;164.1;29;29;29;0;0;0;0;0;0;;head3;264;264;264;4.5;259.5;45;45;45;0;0;0;0;0;0;;head4;389;389;389;6.5;382.5;65;65;65;0;0;0;0;0;0;;head5;585;585;585;8.7;576.3;87;87;87;0;0;0;0;0;0;;head;2.58;0.18;0.9;0.875;0.25;0.038;;;;;;;;8.02%;40.12%;39.01%;11.15%;1.69%;';';';';';';';;;;;;;;;;;;0
;03_05;05_03;Tors_ClothRobe_01;torsmyth;tors5;Torso;tors;myth;tors1;143;143;143;49.8;93.2;24;24;24;0;0;0;45;45;45;;tors2;279;279;279;65.6;213.4;48;48;48;0;0;0;56;56;56;;tors3;440;440;440;152;288;80;80;80;0;0;0;136;136;136;;tors4;649;649;649;182;467;120;120;120;0;0;0;158;158;158;;tors5;975;975;975;301;674;155;155;155;0;0;0;270;270;270;;tors;2.65;0.22;0.9;1;0.375;0.038;;;;;;;;8.69%;35.53%;39.48%;14.8%;1.5%;';';';';';';';;;;;;;;;;;;0
;04_05;05_04;Hand_Cloth_01;handmyth;hand5;Hands;hand;myth;hand1;64;64;64;27;37;5;5;5;26;26;26;0;0;0;;hand2;126;126;126;36;90;10;10;10;34;34;34;0;0;0;;hand3;198;198;198;57.4;140.6;17;17;17;54;54;54;0;0;0;;hand4;292;292;292;84.8;207.2;24;24;24;80;80;80;0;0;0;;hand5;439;439;439;126.8;312.2;34;34;34;120;120;120;0;0;0;;hand;2.4;0.13;0.9;0.75;0.063;;;;;;;;;7.05%;48.83%;40.69%;3.42%;';';';';';';';';;;;;;;;;;;;0
;05_05;05_05;Wais_Leather_01;waismyth;wais5;Waist;wais;myth;wais1;36;36;36;1.1;34.9;3;3;3;0;0;0;0;0;0;;wais2;70;70;70;2.1;67.9;6;6;6;0;0;0;0;0;0;;wais3;110;110;110;3.2;106.8;9;9;9;0;0;0;0;0;0;;wais4;162;162;162;4.9;157.1;14;14;14;0;0;0;0;0;0;;wais5;244;244;244;6.7;237.3;19;19;19;0;0;0;0;0;0;;wais;2.21;0.09;0.9;0.375;;;;;;;;;;6.59%;65.93%;27.47%;';';';';';';';';';;;;;;;;;;;;0
;06_05;05_06;Feet_Cloth_01;feetmyth;feet5;Feet;feet;myth;feet1;64;64;64;28.4;35.6;7;7;7;0;0;0;24;30;27;;feet2;126;126;126;56.8;69.2;14;14;14;0;0;0;48;60;54;;feet3;198;198;198;86;112;25;25;25;0;0;0;72;90;81;;feet4;292;292;292;115;177;35;35;35;0;0;0;96;120;108;;feet5;439;439;439;144.6;294.4;48;48;48;0;0;0;120;150;135;;feet;2.4;0.13;0.9;0.75;0.063;;;;;;;;;7.05%;48.83%;40.69%;3.42%;';';';';';';';';;;;;;;;;;;;0
