;;#Name;#Code Description;#Dev Description;#;#;#;#;#;#;#;#;#;#;;;;#;;Stat Group;slot;;;;#tier;#;#;Ability1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;;;;;;;Ability9;;;;;;;;;;;;;;;;;;;;;Ability10;;;;;;;;;;;;;;;Ability11;;;;;;;;;;;;;;;#;LVL_0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SorCastsApplySeared;Fiery Fingertips;;"% Chance your casts apply Seared (+% dmg taken from attack)";;;A;;;C;;;;;Sorceress;2;3;4;;P.Skill.Passive;none;5;seared;;1;;;apply_status;status;seared;trigger;enemy_took_dmg;in_entity;out_enemy;source_slot;cast;permanent;TRUE;;;;;;;0;lcha%;cha;LVL_0;0;;cnt;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;dmg_perstack;pass;tale;group;P.Weapon;status;seared;;;;;;;;;0;;per;0.04;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;sc;stat;cnt;group;St.seared;pass;base;;;;;;;;;0;lsearedstacks;val;5;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.2;0.4;0.6;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.2;0.4;0.6;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorLightningCircleOnDash;Lightning Circle;;"2/4/6/8/10% Chance for Frost Nova on Dash";;;;D;;;;;;;Sorceress;3;3;4;SorDashDmgArea;P.Skill.Dash;dash;5;;;1;;;spawn_tgt_self;prefab;Entities/Boons/_Talents/LightningCircle/LightningCircle_Fab;trigger;nth_dash;follow;TRUE;;;;;;;;;;;0;;cha;1;0;ldmg;pow;LVL_0;1;;minpow;1;1;;maxpow;151;1;lare;are;9.6;1;;nth;1;0;;tim;0.5;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorMissilesAim;Arcane Attraction;;"Missiles aim towards enemies";;;A;;;;;;;;Sorceress;5;3;4;;P.Skill.Passive;none;1;;;1;;;sc;pass;base;stat;aim;group;P.Weapon;;;;;;;;;;;0;laimrate;val;360;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;replace_missile_fab;prefab;Entities/Boons/_Talents/FireballLarge/FireballLargeAim_Fab;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;1;;360;450;540;630;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;360;720;1080;1440;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorFoxes;Fire Pals;;;;;;;;;;Su;;;Sorceress;1;4;5;SorSummMovement;P.Skill.Summon;summon;3;;;1;;;summon;trigger;on_gain;monster;FoxFireSor;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;lfoxrev;col2;10;1;;cha;1;0;;;;;;;;;lfoxcnt;cnt;3;1;;mcnt;3;1;lfoxhp;hp;50;1;lfoxhpr2;hpr;2;1;lfoxmvm;mvm;3.2;1;;;;;;;;;;;;;;;;;;;;;;;;;0;weapon_mod;re_mon_code;FoxFireSor;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;0;;;;;;cha;1;0;lfoxdmg;pow;LVL_0;1;;minpow;12;1;;maxpow;25;1;lfoxare;are;0.5;1;lfoxat2;tim;0.42;1;;tim2;0;1;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;3;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorSearedMaxStacks;Incineration;;;;;A;;;C;;;;;Sorceress;2;4;5;SorCastsApplySeared;P.Skill.Passive;none;4;;;1;;;sc;stat;cnt;group;St.seared;pass;base;;;;;;;;;;;0;lsearedstacks+;val;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;4;;5;10;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;5;10;15;20;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorFasterCd;Attunement;;"+2/4/6% Faster Cooldowns";;;;;;C;P;;;;Sorceress;4;4;5;;P.Skill.Passive;none;5;;;1;ccr%;Cast Cooldown Reduction %;sc;pass;tale;stat;cspd;group;P.Skill.Cast;;;;;;;;;;;0;lccr+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorLightningRingDmgForLvl;Charged Field;;;;;;D;;;;;;;Sorceress;3;4;5;SorLightningCircleOnDash;P.Skill.Passive;none;4;;;1;;;sc_perboonlvl;stat;pow;group;P.Skill.Dash.SorLightningCircleOnDash;pass;tale;slot;attack;;;;;;;;;0;lddmgperlvl+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;4;;0.1;0.2;0.3;0.4;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.1;0.2;0.3;0.4;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorCastDmgForLibrary;Bookworm;;"+0.2% Cast Damage for each Lore item in Library";;;;;;C;;;;;Sorceress;5;4;5;;P.Skill.Passive;none;1;;;1;cd%;Cast Damage %;sc_perloreitem;stat;pow;group;P.Skill.Cast;pass;tale;;;;;;;;;;;0;lperc3%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;1;;0.002;0.004;0.006;0.008;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.002;0.004;0.006;0.008;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorNoAttackGainDmg;Channel;;;;;;;;C;P;Su;;;Sorceress;1;5;5;;P.Skill.Passive;none;4;;;1;;;sc;stat;pow;group;;pass;tale;o_not_attacking;st1;;;;;;;;;0;ldmg+%;per;LVL_0;0;;st1;0.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;4;;0.1;0.2;0.3;0.4;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.1;0.2;0.3;0.4;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorCastDmgToAttackDmg;Molten Hot;;"+5/10/15% of Cast Damage as Attack Damage";;;A;;;C;;;;;Sorceress;2;5;5;;P.Skill.Passive;none;5;;;1;;;sc_transfer;stat_from;pow;stat_to;pow;group_from;P.Weapon;group_to;P.Skill.Cast;;;;;;;;;0;lperc3%;st1;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.05;0.1;0.15;0.2;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.05;0.1;0.15;0.2;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorExpertOffers;Arcane Intelligence;;;;G;;;;;;;;;Sorceress;4;5;5;;P.Skill.Passive;none;4;;;1;mse%;Expert Skills %;gstatm_base;stat;pre;;;;;;;;;;;;;;;0;lpre+1%;val;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;4;;0.02;0.04;0.06;0.08;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.02;0.04;0.06;0.08;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;SorDashAttackBoost;Energize;;;;;A;;;;;;;;Sorceress;3;5;5;;P.Skill.Passive;none;1;;;1;;;sc_next_attack;stat1;spd;stat2;vlc;group;P.Weapon;pass;tale;expire_on_dur;FALSE;trigger;dash_start;re_owner;;;;0;laspd+%;st1;LVL_0;0;lavlc+%;st2;LVL_1;0;;cha;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;1;;1.5;3;4.5;6;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;1.2;1.8;2.4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1.5;3;4.5;6;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;1.2;1.8;2.4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
