;;#;team;#;#;#;#;#;#;#dmg;#;#;#;#;#;#;#;#;#;#hits;#;#;#;#;#;#;#;#;#;npow1;#npow1;#_tsca;_gro;npow2;#npow2;#_tsca;_gro;npow3;#npow3;#_tsca;_gro;npow4;#npow4;#_tsca;_gro;npow5;#npow5;#_tsca;_gro;#powB;mpow1;#mpow1;#_tsca;_gro;mpow2;#mpow2;#_tsca;_gro;mpow3;#mpow3;#_tsca;_gro;mpow4;#mpow4;#_tsca;_gro;mpow5;#mpow5;#_tsca;_gro;#atB;tim1;#tim1;#_tsca;_gro;tim2;#tim2;#_tsca;_gro;tim3;#tim3;#_tsca;_gro;tim4;#tim4;#_tsca;_gro;tim5;#tim5;#_tsca;_gro;tim2;#tim2;_gro;are;#are;_gro;aicd;#aicd;_gro;min_a;#min_a;_gro;max_a;#max_a;_gro;rng;#rng;_gro;dis;#dis;_gro;aim;#aim;_gro;dur;#dur;_gro;#vlcB;vlc1;#vlc1;#_tsca;_gro;vlc2;#vlc2;#_tsca;_gro;vlc3;#vlc3;#_tsca;_gro;vlc4;#vlc4;#_tsca;_gro;vlc5;#vlc5;#_tsca;_gro;kbk;#kbk;_gro;pnc;#pnc;_gro;bnc;#bnc;_gro;cnt;#cnt;_gro;ang;#ang;_gro;chg;#chg;_gro;col;#col;_gro;rct;#rct;_gro;int;#int;_gro;aipr;#aipr;_gro;st1;#st1;_gro;st2;#st2;_gro;st3;#st3;_gro;tap;#tap;#_gro;Stat Scaling;;;;;;;;;;;;;;;#;ability_type;a1p1;a1p1v1;a1p2;a1p2v1;a1p3;a1p3v1;a1p4;a1p4v1;a1p5;a1p5v1;a1p6;a1p6v1;a1p7;a1p7v1;a1_status;a1_status_val;eol;warning;flash;#base_subtype
;ShielderE_Dash;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;6.5;12.6;11.2;23.4;15.8;32;40.3;78.4;68.3;126;7.7;4;8.9;4.3;12.7;6.3;8.7;4.5;7.3;4;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;0.5;0.29;0.7;0;;0;1.6;2.5;0.56;;;;2.2;3.4;0.56;24;35;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderE_DashLong;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;6.5;12.6;11.2;23.4;15.8;32;40.3;78.4;68.3;126;7.7;4;8.9;4.3;12.7;6.3;8.7;4.5;7.3;4;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;2.1;1.24;0.7;0;;0;99;99;0;;;;2.2;3.4;0.56;24;35;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderFireE_Dash;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;7.4;14.4;12;25.2;17.4;35.2;46.1;89.6;78;144;6.8;3.5;8.3;4;11.5;5.7;7.6;3.9;6.4;3.5;8;16;0;1;14;28;0;1;22;44;0;1;64;128;0;1;120;240;0;1;;8;16;0;1;14;28;0;1;22;44;0;1;64;128;0;1;120;240;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;0.4;0.24;0.7;0;;0;2.6;3.67;0.41;;;;3.2;4.5;0.41;24;35;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderFireE_DashLong;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;7.4;14.4;12;25.2;17.4;35.2;46.1;89.6;78;144;6.8;3.5;8.3;4;11.5;5.7;7.6;3.9;6.4;3.5;8;16;0;1;14;28;0;1;22;44;0;1;64;128;0;1;120;240;0;1;;8;16;0;1;14;28;0;1;22;44;0;1;64;128;0;1;120;240;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;2.1;1.24;0.7;0;;0;99;99;0;;;;3.2;4.5;0.41;24;35;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderFrostE_Dash;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;0.6;0.35;0.7;0;;0;2;2.96;0.48;;;;2.6;3.8;0.48;40;52;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderFrostE_DashLong;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;2.1;1.24;0.7;0;;0;99;99;0;;;;2.6;3.8;0.48;40;52;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderOnyxE_Dash;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;4.7;9;7.7;16.2;11.1;22.4;28.8;56;48.8;90;10.6;5.6;13;6.2;18;8.9;12.2;6.3;10.2;5.6;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;0.2;0.12;0.7;0;;0;0.9;1.69;0.88;;;;1.2;2.3;0.88;90;103;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderOnyxE_DashLong;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;4.7;9;7.7;16.2;11.1;22.4;28.8;56;48.8;90;10.6;5.6;13;6.2;18;8.9;12.2;6.3;10.2;5.6;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;;1.04;0.95;0;0.1;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.9;0.82;0;0.095;;;;;;;2.1;1.24;0.7;0;;0;99;99;0;;;;1.2;2.3;0.88;90;103;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderGoldE_Dash;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;6.5;12.6;11.2;23.4;15.8;32;40.3;78.4;68.3;126;7.7;4;8.9;4.3;12.7;6.3;8.7;4.5;7.3;4;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;1.32;1.18;0;0.12;1.27;1.14;0;0.1135;1.22;1.1;0;0.111;1.18;1.06;0;0.109;1.14;1.03;0;0.107;;;;;;;0.6;0.35;0.7;0;;0;5.2;6.45;0.24;;;;5.8;7.2;0.24;18;28;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ShielderGoldE_DashLong;;enemy;mon_dash;1;1;11mon_dash;mon_dash11;;6.5;12.6;11.2;23.4;15.8;32;40.3;78.4;68.3;126;7.7;4;8.9;4.3;12.7;6.3;8.7;4.5;7.3;4;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;;1.32;1.18;0;0.12;1.27;1.14;0;0.1135;1.22;1.1;0;0.111;1.18;1.06;0;0.109;1.14;1.03;0;0.107;;;;;;;2.1;1.24;0.7;0;;0;99;99;0;;;;5.8;7.2;0.24;18;28;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.67;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;Gargoyle1B_Dash;;enemy;mon_dash;2;1;21mon_dash;mon_dash21;780;5;9.9;8.3;17.1;11.9;24;31;60.2;52.7;97.2;10;5.1;12;5.8;16.8;8.3;11.3;5.8;9.5;5.1;5.4;11;0;1;9.7;19;0;1;15;30;0;1;43;86;0;1;81;162;0;1;9.5;5.4;11;0;1;9.7;19;0;1;15;30;0;1;43;86;0;1;81;162;0;1;1.15;1.25;1.13;0;0.11;1.2;1.08;0;0.11;1.16;1.05;0;0.108;1.12;1.01;0;0.106;1.08;0.98;0;0.104;;;;;;;2;2;0;2;2;0;3.8;3.8;0;;;;9;9;0;26;26;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.44;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;FALSE;
;Gargoyle2B_Dash;;enemy;mon_dash;2;1;21mon_dash;mon_dash21;780;5;9.9;8.3;17.1;11.9;24;31;60.2;52.7;97.2;10;5.1;12;5.8;16.8;8.3;11.3;5.8;9.5;5.1;5.4;11;0;1;9.7;19;0;1;15;30;0;1;43;86;0;1;81;162;0;1;9.5;5.4;11;0;1;9.7;19;0;1;15;30;0;1;43;86;0;1;81;162;0;1;1.33;1.45;1.29;0;0.12;1.39;1.24;0;0.1195;1.34;1.2;0;0.117;1.29;1.16;0;0.1145;1.25;1.12;0;0.1125;;;;;;;1.6;1.6;0;2;2;0;7;7;0;;;;14;14;0;36;36;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.44;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;FALSE;
;VampireLordB_Dash;;enemy;mon_dash;3;1;31mon_dash;mon_dash31;1200;5.4;10.8;8.6;18;12.6;25.6;33.1;64.4;56.6;104.4;9.3;4.6;11.6;5.6;15.9;7.8;10.6;5.4;8.8;4.8;5.8;12;0;1;10;20;0;1;16;32;0;1;46;92;0;1;87;174;0;1;11.6;5.8;12;0;1;10;20;0;1;16;32;0;1;46;92;0;1;87;174;0;1;1.13;1.25;1.13;0;0.11;1.2;1.08;0;0.11;1.16;1.05;0;0.108;1.12;1.01;0;0.106;1.08;0.98;0;0.104;;;;;;;5;5;0;2;2;0;8;8;0;;;;12;12;0;50;50;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;0.44;mon_dash;;;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;FALSE;
;BlackKnight_Slash;;enemy;melee;0;1;01melee;melee01;;5.8;10.8;9.5;19.8;13.4;27.2;36;70;60.5;111.6;8.6;4.6;10.5;5.1;14.9;7.4;9.7;5;8.3;4.5;6.2;12;0;1;11;22;0;1;17;34;0;1;50;100;0;1;93;186;0;1;;6.2;12;0;1;11;22;0;1;17;34;0;1;50;100;0;1;93;186;0;1;;1.177;1.06;0;0.11;1.13;1.02;0;0.1065;1.09;0.99;0;0.1045;1.05;0.95;0;0.1025;1.02;0.93;0;0.101;;;;3.1;4.34;0.4;0.98;0.58;0.7;0;;0;1.48;1.48;0;1.2;1.2;0;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.48;melee;prefab;Entities/Monsters/_Shared/Slashes/_S_SlashVariants/Slam_Fab;distance;1.2;yoffset;0;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Melee_Circle_Fab;TRUE;
;Gargoyle_Slash;;enemy;melee;0;1;01melee;melee01;;5.3;9.9;8.6;18;12.6;25.6;33.1;64.4;55.9;103.2;9.4;5.1;11.6;5.6;15.9;7.8;10.6;5.4;8.9;4.8;5.7;11;0;1;10;20;0;1;16;32;0;1;46;92;0;1;86;172;0;1;;5.67;11;0;1;10;20;0;1;16;32;0;1;46;92;0;1;86;172;0;1;;1.30647;1.17;0;0.12;1.26;1.13;0;0.113;1.21;1.09;0;0.1105;1.17;1.06;0;0.1085;1.13;1.02;0;0.1065;;;;2.4;3.36;0.4;0.56;0.33;0.7;0;;0;1.51;1.51;0;1.1;1.1;0;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.44;melee;prefab;Entities/Monsters/Gargoyle/GargoyleSlash_Fab;distance;1.1;yoffset;0;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Melee_Slash_Fab;TRUE;
