n/a;;;;;;#;#;;;;;eol;;;#;#;eol
;54;0.9;1.8;0.11;0.11;0.108;0.108;0.135;0.36;0.14;0.28;0;108;216;35.1%;51.9%;0
;55;0.92;1.83;0.11;0.11;0.11;0.11;0.138;0.367;0.14;0.28;0;110;220;35.5%;52.4%;0
;56;0.93;1.87;0.11;0.11;0.112;0.112;0.14;0.373;0.14;0.29;0;112;224;35.9%;52.8%;0
;57;0.95;1.9;0.11;0.11;0.114;0.114;0.143;0.38;0.15;0.29;0;114;228;36.3%;53.3%;0
;58;0.97;1.93;0.12;0.12;0.116;0.116;0.145;0.387;0.15;0.3;0;116;232;36.7%;53.7%;0
;59;0.98;1.97;0.12;0.12;0.118;0.118;0.148;0.393;0.15;0.3;0;118;236;37.1%;54.1%;0
;60;1;2;0.12;0.12;0.12;0.12;0.15;0.4;0.15;0.31;0;120;240;37.5%;54.5%;0
;61;1.02;2.03;0.12;0.12;0.122;0.122;0.153;0.407;0.16;0.31;0;122;244;37.9%;55%;0
;62;1.03;2.07;0.12;0.12;0.124;0.124;0.155;0.413;0.16;0.32;0;124;248;38.3%;55.4%;0
;63;1.05;2.1;0.13;0.13;0.126;0.126;0.158;0.42;0.16;0.32;0;126;252;38.7%;55.8%;0
;64;1.07;2.13;0.13;0.13;0.128;0.128;0.16;0.427;0.16;0.33;0;128;256;39%;56.1%;0
;65;1.08;2.17;0.13;0.13;0.13;0.13;0.163;0.433;0.17;0.33;0;130;260;39.4%;56.5%;0
;66;1.1;2.2;0.13;0.13;0.132;0.132;0.165;0.44;0.17;0.34;0;132;264;39.8%;56.9%;0
;67;1.12;2.23;0.13;0.13;0.134;0.134;0.168;0.447;0.17;0.34;0;134;268;40.1%;57.3%;0
;68;1.13;2.27;0.14;0.14;0.136;0.136;0.17;0.453;0.17;0.35;0;136;272;40.5%;57.6%;0
;69;1.15;2.3;0.14;0.14;0.138;0.138;0.173;0.46;0.18;0.35;0;138;276;40.8%;58%;0
;70;1.17;2.33;0.14;0.14;0.14;0.14;0.175;0.467;0.18;0.36;0;140;280;41.2%;58.3%;0
;71;1.18;2.37;0.14;0.14;0.142;0.142;0.178;0.473;0.18;0.36;0;142;284;41.5%;58.7%;0
;72;1.2;2.4;0.14;0.14;0.144;0.144;0.18;0.48;0.18;0.37;0;144;288;41.9%;59%;0
;73;1.22;2.43;0.15;0.15;0.146;0.146;0.183;0.487;0.19;0.37;0;146;292;42.2%;59.3%;0
;74;1.23;2.47;0.15;0.15;0.148;0.148;0.185;0.493;0.19;0.38;0;148;296;42.5%;59.7%;0
;75;1.25;2.5;0.15;0.15;0.15;0.15;0.188;0.5;0.19;0.38;0;150;300;42.9%;60%;0
;76;1.27;2.53;0.15;0.15;0.152;0.152;0.19;0.507;0.19;0.39;0;152;304;43.2%;60.3%;0
;77;1.28;2.57;0.15;0.15;0.154;0.154;0.193;0.513;0.2;0.39;0;154;308;43.5%;60.6%;0
;78;1.3;2.6;0.16;0.16;0.156;0.156;0.195;0.52;0.2;0.4;0;156;312;43.8%;60.9%;0
;79;1.32;2.63;0.16;0.16;0.158;0.158;0.198;0.527;0.2;0.41;0;158;316;44.1%;61.2%;0
;80;1.33;2.67;0.16;0.16;0.16;0.16;0.2;0.533;0.21;0.41;0;160;320;44.4%;61.5%;0
;81;1.35;2.7;0.16;0.16;0.162;0.162;0.203;0.54;0.21;0.42;0;162;324;44.8%;61.8%;0
;82;1.37;2.73;0.16;0.16;0.164;0.164;0.205;0.547;0.21;0.42;0;164;328;45.1%;62.1%;0
;83;1.38;2.77;0.17;0.17;0.166;0.166;0.208;0.553;0.21;0.43;0;166;332;45.4%;62.4%;0
;84;1.4;2.8;0.17;0.17;0.168;0.168;0.21;0.56;0.22;0.43;0;168;336;45.7%;62.7%;0
;85;1.42;2.83;0.17;0.17;0.17;0.17;0.213;0.567;0.22;0.44;0;170;340;45.9%;63%;0
;86;1.43;2.87;0.17;0.17;0.172;0.172;0.215;0.573;0.22;0.44;0;172;344;46.2%;63.2%;0
;87;1.45;2.9;0.17;0.17;0.174;0.174;0.218;0.58;0.22;0.45;0;174;348;46.5%;63.5%;0
;88;1.47;2.93;0.18;0.18;0.176;0.176;0.22;0.587;0.23;0.45;0;176;352;46.8%;63.8%;0
;89;1.48;2.97;0.18;0.18;0.178;0.178;0.223;0.593;0.23;0.46;0;178;356;47.1%;64%;0
;90;1.5;3;0.18;0.18;0.18;0.18;0.225;0.6;0.23;0.46;0;180;360;47.4%;64.3%;0
;91;1.52;3.03;0.18;0.18;0.182;0.182;0.228;0.607;0.23;0.47;0;182;364;47.6%;64.5%;0
;92;1.53;3.07;0.18;0.18;0.184;0.184;0.23;0.613;0.24;0.47;0;184;368;47.9%;64.8%;0
;93;1.55;3.1;0.19;0.19;0.186;0.186;0.233;0.62;0.24;0.48;0;186;372;48.2%;65%;0
;94;1.57;3.13;0.19;0.19;0.188;0.188;0.235;0.627;0.24;0.48;0;188;376;48.5%;65.3%;0
;95;1.58;3.17;0.19;0.19;0.19;0.19;0.238;0.633;0.24;0.49;0;190;380;48.7%;65.5%;0
;96;1.6;3.2;0.19;0.19;0.192;0.192;0.24;0.64;0.25;0.49;0;192;384;49%;65.8%;0
;97;1.62;3.23;0.19;0.19;0.194;0.194;0.243;0.647;0.25;0.5;0;194;388;49.2%;66%;0
;98;1.63;3.27;0.2;0.2;0.196;0.196;0.245;0.653;0.25;0.5;0;196;392;49.5%;66.2%;0
;99;1.65;3.3;0.2;0.2;0.198;0.198;0.248;0.66;0.25;0.51;0;198;396;49.7%;66.4%;0
;100;1.67;3.33;0.2;0.2;0.2;0.2;0.25;0.667;0.26;0.51;0;200;400;50%;66.7%;0
