n/a;code;type;class;specific;#desc;minrar;maxrar;ca1;ca1%;ca2;ca2%;ca3;ca3%;ca4;ca4%;eol;fa1;fa2;fa3;fa4;fa5;fa6;fa7;fa8;eol;#sum;bv1%;w1|1;a1|1;w1|2;a1|2;w1|3;a1|3;eol;bv2%;w2|1;a2|1;eol;bv3%;w3|1;a3|1;w3|2;a3|2;w3|3;a3|3;eol;da;#dif;#est;#est;#dps;#dmgr;mind;maxd;#avgd;at;#at%;are;tgt;rng;#rng%;vlc;kbk;pnc;bnc;cnt;ang;pts;eol;invart;envart;picksfx;dropsfx
;Hand_ElitePlate_03;hand;heavy;none;;epic;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_ElitePlate_03_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_Steel_01;hand;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Steel_01_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_Steel_02;hand;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Steel_02_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_Steel_03;hand;heavy;none;;comm;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Steel_03_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_Steel_04;hand;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Steel_04_Spr;Items/ItemsEnv/Hand_Heavy_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Hand_Leather_01;hand;medium;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1;0.5;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Leather_01_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Leather_02;hand;medium;none;;comm;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1;0.5;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Leather_02_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Leather_03;hand;medium;none;;comm;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1;0.5;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Leather_03_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Gloves_Pick;Item_Gloves_Drop
;Hand_Mail_01;hand;medium;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1.2;0.6;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Mail_01_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Mittens_Pick;Item_Mittens_Drop
;Hand_Mail_02;hand;medium;none;;comm;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1.2;0.6;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Mail_02_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Mittens_Pick;Item_Mittens_Drop
;Hand_Mail_03;hand;medium;none;;rare;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1.2;0.6;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Mail_03_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Mittens_Pick;Item_Mittens_Drop
;Hand_Mail_04;hand;medium;none;;rare;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1.2;0.6;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_Mail_04_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Mittens_Pick;Item_Mittens_Drop
;Hand_PlatedLeather_01;hand;medium;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;;;0;1.6;0.8;1;a;;;;;0;1;1;pul;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Hand_PlatedLeather_01_Spr;Items/ItemsEnv/Hand_Medium_01_Spr;Item_Gauntlets_Pick;Item_Gauntlets_Drop
;Head_Armet_01;head;heavy;Knight;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.8;0.9;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Armet_01_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_Circlet_01;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.2;0.1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Circlet_01_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Circlet_Pick;Item_Circlet_Drop
;Head_Circlet_02;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.2;0.1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Circlet_02_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Circlet_Pick;Item_Circlet_Drop
;Head_Circlet_03;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.2;0.1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Circlet_03_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Circlet_Pick;Item_Circlet_Drop
;Head_CircletElite_01;head;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.2;0.1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_CircletElite_01_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Circlet_Pick;Item_Circlet_Drop
;Head_CircletElite_02;head;light;none;;rare;immo;;;;;;;;;0;a;;;;;;;;0;0.2;0.1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_CircletElite_02_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Circlet_Pick;Item_Circlet_Drop
;Head_CircletElite_03;head;light;none;;epic;immo;;;;;;;;;0;a;;;;;;;;0;0.2;0.1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_CircletElite_03_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Circlet_Pick;Item_Circlet_Drop
;Head_Cowl_01;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.5;0.25;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Cowl_01_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_Cowl_02;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.5;0.25;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Cowl_02_Spr;Items/ItemsEnv/Head_Light_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_FaceplateElite_02;head;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.8;0.9;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_FaceplateElite_02_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_FootHelm_01;head;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_FootHelm_01_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_FootHelm_02;head;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;2;1;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_FootHelm_02_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_GreatHelm_01;head;heavy;Knight;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.4;0.7;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_GreatHelm_01_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_GreatHelm_02;head;heavy;Knight;;rare;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.4;0.7;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_GreatHelm_02_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_GreatHelm_03;head;heavy;Knight;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.4;0.7;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_GreatHelm_03_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_HelmSkull_01;head;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.4;0.7;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_HelmSkull_01_Spr;Items/ItemsEnv/Head_Heavy_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
;Head_Hood_01;head;light;none;;brok;rare;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Hood_01_Spr;Items/ItemsEnv/Head_Hood_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_Hood_02;head;light;none;;epic;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Hood_02_Spr;Items/ItemsEnv/Head_Hood_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_Hood_03;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Hood_03_Spr;Items/ItemsEnv/Head_Hood_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_Hood_04;head;light;none;;brok;immo;;;;;;;;;0;a;;;;;;;;0;0.4;0.2;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Hood_04_Spr;Items/ItemsEnv/Head_Hood_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_HoodSkull_03;head;light;none;;epic;immo;;;;;;;;;0;a;;;;;;;;0;0.8;0.4;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_HoodSkull_03_Spr;Items/ItemsEnv/Head_Hood_01_Spr;Item_Hood_Pick;Item_Hood_Drop
;Head_Kabuto_01;head;heavy;none;;brok;immo;;;;;;;;;0;v%;ang%;acnt;apnc;abnc;arng%;e;;0;1.5;0.75;1;a;;;;;0;;;;0;;;;;;;;0;d%;;;;;;;;;;;;;;;;;;;;;;0;Items/ItemsInv/Head_Kabuto_01_Spr;Items/ItemsEnv/Head_Hood_01_Spr;Item_Armor_Plate_Pick;Item_Armor_Plate_Drop
