n/a;#min;sec;pow;minpow;maxpow;at;are;cd;min_a;max_a;rng;aim;dur;vlc;kbk;pnc;cnt;ang;chg;col;int;pre;#;mvm;hp;hpr;%red;%res;kkres;stares;hit;eol;xpdrop;eol;gmin;gmax;eol;brok;comm;rare;epic;myth;immo;eol;#;#chart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:10:00 AM;600;0;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0;0.5;0;0.5;0.5;0;0.5;0.5;0.5;0.5;0.5;0.5;0;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:11:00 AM;660;0;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0;0.55;0;0.55;0.55;0;0.55;0.55;0.55;0.55;0.55;0.55;0;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:12:00 AM;720;0;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0;0.6;0;0.6;0.6;0;0.6;0.6;0.6;0.6;0.6;0.6;0;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:13:00 AM;780;0;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0;0.65;0;0.65;0.65;0;0.65;0.65;0.65;0.65;0.65;0.65;0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:14:00 AM;840;0;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0;0.7;0;0.7;0.7;0;0.7;0.7;0.7;0.7;0.7;0.7;0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:15:00 AM;900;0;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0.83;0;0.75;0;0.75;0.75;0;0.75;0.75;0.75;0.75;0.75;0.75;0;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:16:00 AM;960;0;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0.87;0;0.8;0;0.8;0.8;0;0.8;0.8;0.8;0.8;0.8;0.8;0;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:17:00 AM;1020;0;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0;0.85;0;0.85;0.85;0;0.85;0.85;0.85;0.85;0.85;0.85;0;;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:18:00 AM;1080;0;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0;0.9;0;0.9;0.9;0;0.9;0.9;0.9;0.9;0.9;0.9;0;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:19:00 AM;1140;0;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0.97;0;0.95;0;0.95;0.95;0;0.95;0.95;0.95;0.95;0.95;0.95;0;;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12:20:00 AM;1200;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
