n/a;code;t;#isboss;#cnt;#Hor;#Tan;#Ini;#Rng;#DPS;#Nuk;#Con;#Dis;#Sup;#Mob;#Acc;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#;;#;;#;;#;#;;#;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#
;BlackKnightCharge;1;Minion;1.6;0;Tan;Ini;0;0;0;0;0;0;0;0;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ghost;1;Minion;14.7;Hor;0;Ini;0;0;0;0;0;0;Mob;0;3;33.3%;2;14.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;2;7.1%;3;33.3%;3;50%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;2;7.1%;3;25%;3;50%;3;20%;3;20%;3;20%;3;20%;3;20%;2;6.7%;3;20%;3;50%;3;20%;3;20%;3;20%;3;20%;2;9.1%;3;20%;3;33.3%;3;20%;3;20%;3;20%;3;20%;3;20%;3;33.3%;3;20%;3;20%;2;6.7%;3;20%;3;33.3%;3;20%;3;20%;3;20%;3;33.3%;1;6.7%;1;6.7%;1;14.3%;3;20%;3;33.3%;2;33.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GhostArmor;1;Minion;2.3;Hor;0;Ini;0;0;0;0;0;0;Mob;0;;;2;14.3%;;;;;;;;;;;;;2;7.1%;;;;;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;;;2;7.1%;;;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;2;8.3%;;;;;;;;;2;6.7%;;;;;;;;;;;;;1;6.7%;1;6.7%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GhostShadow;1;Minion;2.3;Hor;0;Ini;0;0;0;0;0;0;Mob;0;;;2;14.3%;;;;;;;;;;;;;2;7.1%;;;;;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;;;2;7.1%;;;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;2;8.3%;;;;;;;;;2;6.7%;;;;;;;;;;;;;1;6.7%;1;6.7%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ooze;1;Minion;1.7;Hor;0;0;0;0;0;0;0;0;Mob;0;;;;;;;;;;;;;;;;;2;7.1%;;;2;10%;;;;;;;;;;;;;;;2;14.3%;;;2;6.7%;;;;;;;;;;;;;2;7.1%;;;2;6.7%;;;;;;;;;;;2;6.7%;;;2;7.7%;;;;;;;;;2;9.1%;;;2;6.7%;;;;;;;2;8.3%;;;2;8.3%;;;;;2;6.7%;;;2;7.1%;;;;;;;2;6.7%;1;6.7%;1;6.7%;2;6.7%;;;2;6.7%;1;6.7%;;;;;;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OozeArmor;1;Minion;1.7;Hor;0;0;0;0;0;0;0;0;Mob;0;;;;;;;;;;;;;;;;;2;7.1%;;;2;10%;;;;;;;;;;;;;;;2;14.3%;;;2;6.7%;;;;;;;;;;;;;2;7.1%;;;2;6.7%;;;;;;;;;;;2;6.7%;;;2;7.7%;;;;;;;;;2;9.1%;;;2;6.7%;;;;;;;2;8.3%;;;2;8.3%;;;;;2;6.7%;;;2;7.1%;;;;;;;2;6.7%;1;6.7%;1;6.7%;2;6.7%;;;2;6.7%;1;6.7%;;;;;;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OozeBlood;1;Minion;1.7;Hor;0;0;0;0;0;0;0;0;Mob;0;;;;;;;;;;;;;;;;;2;7.1%;;;2;10%;;;;;;;;;;;;;;;2;14.3%;;;2;6.7%;;;;;;;;;;;;;2;7.1%;;;2;6.7%;;;;;;;;;;;2;6.7%;;;2;7.7%;;;;;;;;;2;9.1%;;;2;6.7%;;;;;;;2;8.3%;;;2;8.3%;;;;;2;6.7%;;;2;7.1%;;;;;;;2;6.7%;1;6.7%;1;6.7%;2;6.7%;;;2;6.7%;1;6.7%;;;;;;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OozeSlow;1;Minion;3;Hor;0;0;0;0;0;Con;0;0;Mob;0;;;;;;;;;;;2;14.3%;;;;;2;7.1%;;;2;10%;;;;;;;;;2;12.5%;;;;;2;14.3%;;;2;6.7%;;;;;;;2;20%;;;;;2;7.1%;;;2;6.7%;;;;;2;12.5%;;;;;2;6.7%;;;2;7.7%;;;2;14.3%;;;;;2;9.1%;;;2;6.7%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;;;;;2;6.7%;;;2;7.1%;;;;;;;2;6.7%;1;6.7%;1;6.7%;2;6.7%;;;2;6.7%;1;6.7%;;;;;;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Phantom;1;Minion;3.2;0;0;Ini;0;0;Nuk;0;0;0;Mob;0;;;2;14.3%;;;;;;;;;;;;;2;7.1%;;;;;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;;;2;7.1%;;;;;;;;;;;;;;;2;6.7%;;;;;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;;;;;;;;;2;8.3%;;;;;;;;;2;6.7%;;;;;;;;;;;;;1;6.7%;1;6.7%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PhantomShadow;1;Minion;3.2;0;0;Ini;0;0;Nuk;0;0;0;Mob;0;;;2;14.3%;;;;;;;;;;;;;2;7.1%;;;;;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;;;2;7.1%;;;;;;;;;;;;;;;2;6.7%;;;;;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;1;16.7%;;;;;;;;;2;8.3%;;;;;;;;;2;6.7%;;;;;;;;;;;;;1;6.7%;1;6.7%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Shielder;1;Minion;12.5;Hor;Tan;0;0;0;0;0;0;0;0;0;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;2;6.7%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;33.3%;3;25%;2;6.7%;3;20%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;2;7.7%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;2;6.7%;3;20%;3;20%;3;20%;3;20%;3;20%;2;8.3%;3;20%;3;20%;3;25%;3;20%;2;7.1%;3;20%;3;20%;3;20%;2;6.7%;3;25%;3;25%;2;6.7%;3;20%;2;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ShielderArmor;1;Minion;2.3;Hor;Tan;0;0;0;0;0;0;0;0;0;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;;;;;2;7.7%;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;2;8.3%;;;;;;;;;2;7.1%;;;;;;;2;6.7%;;;;;2;6.7%;;;2;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Skeleton;1;Minion;27.6;Hor;0;0;0;0;0;0;0;0;0;0;3;33.3%;3;50%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;33.3%;3;50%;3;33.3%;2;10%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;2;6.7%;3;25%;3;25%;3;25%;3;25%;3;25%;3;25%;3;33.3%;3;25%;2;6.7%;3;20%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;2;7.7%;3;20%;3;20%;3;20%;3;20%;3;25%;3;20%;2;6.7%;3;20%;3;20%;3;20%;3;20%;3;20%;2;8.3%;3;20%;3;20%;3;25%;3;20%;2;7.1%;3;20%;3;20%;3;20%;2;6.7%;3;25%;3;25%;2;6.7%;3;20%;2;6.7%;1;6.7%;;;;1;100%;;;1;100%;1;100%;;1;100%;;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;;;;;
;SkeletonBlood;1;Minion;3.3;Hor;0;0;0;DPS;0;0;0;0;0;0;;;;;;;2;16.7%;;;;;;;;;;;;;2;10%;;;;;2;16.7%;;;;;;;;;;;;;2;6.7%;;;2;33.3%;;;;;;;;;;;;;2;6.7%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;14.3%;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;2;8.3%;;;;;;;;;2;7.1%;;;;;;;2;6.7%;;;;;2;6.7%;;;2;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonFast;1;Minion;1.5;Hor;0;0;0;0;0;0;0;0;Mob;0;;;;;;;;;;;;;;;;;2;7.1%;;;2;10%;;;;;;;;;;;;;;;2;14.3%;;;2;6.7%;;;;;;;;;;;;;2;7.1%;;;2;6.7%;;;;;;;;;;;2;6.7%;;;2;7.7%;;;;;;;;;2;9.1%;;;2;6.7%;;;;;;;2;8.3%;;;2;8.3%;;;;;2;6.7%;;;2;7.1%;;;;;;;2;6.7%;1;6.7%;1;6.7%;2;6.7%;;;2;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonFire;1;Minion;3.3;Hor;0;0;0;DPS;0;0;0;0;0;0;;;;;;;2;16.7%;;;;;;;;;;;;;2;10%;;;;;2;16.7%;;;;;;;;;;;;;2;6.7%;;;2;33.3%;;;;;;;;;;;;;2;6.7%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;14.3%;;;;;;;;;;;;;2;6.7%;;;;;;;;;;;2;8.3%;;;;;;;;;2;7.1%;;;;;;;2;6.7%;;;;;2;6.7%;;;2;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonFrost;1;Minion;4.2;Hor;Tan;0;0;0;0;0;Dis;0;0;0;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;1;14.3%;;;;;;;;;;;2;25%;;;;;;;2;6.7%;;;;;;;;;;;;;;;;;2;6.7%;;;;;;;2;25%;;;;;;;2;7.7%;;;;;2;25%;;;;;;;2;6.7%;;;;;;;;;;;2;8.3%;1;25%;1;25%;1;25%;1;25%;1;25%;;;;;;;2;6.7%;;;;;2;6.7%;;;2;6.7%;1;6.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonTrash1;1;Minion;1;Hor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonTrash2;1;Minion;0;Hor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Summoner;1;Minion;1.8;0;0;0;0;0;0;0;0;0;0;Acc;;;;;;;;;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;2;20%;;;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;;;;;;;2;25%;;;;;;;2;16.7%;;;;;2;16.7%;;;2;16.7%;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SummonerArcher;1;Minion;4.1;0;0;0;Rng;DPS;0;0;0;0;0;Acc;;;;;;;2;16.7%;;;;;;;;;;;2;16.7%;;;;;;;2;16.7%;;;;;;;;;;;2;16.7%;;;;;2;33.3%;;;;;;;;;;;2;16.7%;;;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;25%;1;14.3%;;;;;;;;;;;2;16.7%;;;;;;;;;;;;;;;;;;;;;2;25%;;;;;;;2;16.7%;;;;;2;16.7%;;;2;16.7%;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SummonerArcherHoming;1;Minion;3.3;0;0;0;Rng;0;0;Con;0;0;0;Acc;;;;;;;;;;;2;14.3%;;;;;;;2;16.7%;;;;;;;;;;;2;12.5%;;;;;;;2;16.7%;;;;;;;;;2;20%;;;;;;;2;16.7%;;;;;;;2;12.5%;;;;;;;2;20%;;;;;2;14.3%;;;;;;;2;16.7%;;;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;1;12.5%;;;;;;;2;25%;;;;;;;2;16.7%;;;;;2;16.7%;;;2;16.7%;1;16.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherE;1;Elite;1.4;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;5%;E1;5.6%;;;;;;;;;;;;;;;;;E1;4.8%;E1;4.5%;;;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;E1;7.7%;E1;5.3%;E1;8.3%;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherFireE;1;Elite;1.4;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;5%;E1;5.6%;;;;;;;;;;;;;;;;;E1;4.8%;E1;4.5%;;;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;E1;7.7%;E1;5.3%;E1;8.3%;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherFriendE;1;Elite;6.4;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;5%;E1;5.6%;;;;;;;;;;;;;;;;;E1;4.8%;E1;4.5%;;;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;E1;7.7%;E1;5.3%;E1;8.3%;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;E1;100%;;;E1;100%;E1;100%;;E1;100%;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherFrostE;1;Elite;2.2;0;0;0;Rng;0;0;0;Dis;0;0;0;;;;;E1;5%;;;;;;;E1;9.1%;;;;;;;;;;;E1;4.8%;;;;;;;E1;8.3%;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;;;;;;;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;33.3%;E1;33.3%;E1;8.3%;E1;16.7%;E1;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherHomingE;1;Elite;2.3;0;0;0;Rng;DPS;0;Con;0;0;0;0;;;;;E1;5%;E1;5.6%;;;E1;6.3%;;;;;;;;;;;;;E1;4.8%;E1;4.5%;;;E1;7.1%;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;E1;7.7%;E1;5.3%;E1;8.3%;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;E1;14.3%;E1;14.3%;E1;14.3%;E1;7.7%;E1;10%;E1;12.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
