n/a;points;brok;comm;rare;epic;myth;immo;#;brok;comm;rare;epic;myth;immo;#;am1;am2;am3;am4;am5;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
;11;0;0;0;0;0;0;0;0;26.19;15.714;37.079;273.103;273.103;0;-2.328;0;3.88;23.28;116.402;0;;Archer;6.47%;0%;83%;56.5%;3.8%;7.76%;2.09%;7.14%;4.66%;28.6%;0%;0%;2.1;0.4;11.6;2.4;194.2;40.3;;;;;;;;;
;12;0;0;0;0;0;0;0;0;27.273;16.364;40.909;308.571;308.571;0;-2.553;0;4.255;25.532;127.66;0;;SkeletonTrash1;73.5%;0%;24.5%;78.6%;1.84%;17.7%;0.18%;2.95%;0.024%;0.71%;0%;0%;;;;;;;;;;;;;;;
;13;0;0;0;0;0;0;0;0;28.261;16.957;44.828;346.667;346.667;0;-2.781;0;4.635;27.807;139.037;0;;SkeletonTrash1;6.47%;0%;83%;56.5%;3.8%;7.76%;2.09%;7.14%;4.66%;28.6%;0%;0%;2.1;0.4;11.6;2.4;194.2;40.3;;;;;;;;;
;14;0;0;0;0;0;0;0;0;29.167;17.5;48.837;387.692;387.692;0;-3.011;0;5.018;30.108;150.538;0;;ArcherE;71.3%;0%;24.6%;64.8%;3.69%;29.2%;0.37%;4.86%;0.049%;1.17%;0%;0%;;;;;;;;;;;;;;;
;15;0;0;0;0;0;0;0;0;30;18;52.941;432;432;0;-3.243;0;5.405;32.432;162.162;0;;ArcherE;5.66%;0%;75.2%;39.4%;6.89%;10.8%;3.8%;9.95%;8.44%;39.8%;0%;0%;1.9;0.4;10.3;2;172.2;34;;;;;;;;;
;16;0;0;0;0;0;0;0;0;30.769;18.462;57.143;480;480;0;-3.478;0;5.797;34.783;173.913;0;;FrogKingB;0%;0%;0%;0%;91%;91%;8%;8%;1%;1%;0%;0%;;;;;;;;;;;;;;;
;17;0;0;0;0;0;0;0;0;31.481;18.889;61.446;532.174;532.174;0;-3.716;0;6.193;37.158;185.792;0;;FrogKingB;0%;0%;0%;0%;40.1%;40.1%;19.4%;19.4%;40.5%;40.5%;0%;0%;0.4;0.4;2.4;2.4;40.5;40.5;;;;;;;;;
;18;0;0;0;0;0;0;0;0;32.143;19.286;65.854;589.091;589.091;0;-3.956;0;6.593;39.56;197.802;0;;ScarecrowB;0%;0%;0%;0%;76%;76%;22%;22%;2%;2%;0%;0%;;;;;;;;;;;;;;;
;19;0;0;0;0;0;0;0;0;32.759;19.655;70.37;651.429;651.429;0;-4.199;0;6.998;41.989;209.945;0;;ScarecrowB;0%;0%;0%;0%;19.9%;19.9%;31.8%;31.8%;48.2%;48.2%;0%;0%;0.3;0.3;1.4;1.4;24.1;24.1;;;;;;;;;
;20;0;0;0;0;0;0;0;0;33.333;20;75;720;720;0;-4.444;0;7.407;44.444;222.222;0;;LadyB;0%;0%;0%;0%;44%;44%;48%;48%;8%;8%;0%;0%;;;;;;;;;;;;;;;
;21;0;0;0;0;0;0;0;0;33.871;20.323;79.747;795.789;795.789;0;-4.693;0;7.821;46.927;234.637;0;;LadyB;0%;0%;0%;0%;4.21%;4.21%;25.3%;25.3%;70.4%;70.4%;0%;0%;0.1;0.1;0.5;0.5;8.8;8.8;;;;;;;;;
;22;0;0;0;0;0;0;0;0;34.375;20.625;84.615;880;880;0;-4.944;0;8.24;49.438;247.191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;0;0;0;0;0;0;0;0;34.848;20.909;89.61;974.118;974.118;0;-5.198;0;8.663;51.977;259.887;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;0;0;0;0;0;0;0;0;35.294;21.176;94.737;1080;1080;0;-5.455;0;9.091;54.545;272.727;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25;0;0;0;0;0;0;0;0;35.714;21.429;100;1200;1200;0;-5.714;0;9.524;57.143;285.714;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;26;0;0;0;0;0;0;0;0;36.111;21.667;105.405;1337.143;1337.143;0;-5.977;0;9.962;59.77;298.851;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;0;0;0;0;0;0;0;0;36.486;21.892;110.959;1495.385;1495.385;0;-6.243;0;10.405;62.428;312.139;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;0;0;0;0;0;0;0;0;36.842;22.105;116.667;1680;1680;0;-6.512;0;10.853;65.116;325.581;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;0;0;0;0;0;0;0;0;37.179;22.308;122.535;1898.182;1898.182;0;-6.784;0;11.306;67.836;339.181;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;0;0;0;0;0;0;0;0;37.5;22.5;128.571;2160;2160;0;-7.059;0;11.765;70.588;352.941;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
